X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-175,1,1,0,1,10,10,Jump Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,train
136,91,1,0,1,9,35,Jump Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,train
6,208,0,0,1,8,19,Jump Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,train
1,42,0,0,1,4,20,Jump Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,test
12,7,1,0,1,4,20,Putback Layup Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,test
58,9,1,0,2,8,50,Jump Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,train
58,52,0,0,2,0,40,Jump Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,train
-73,7,1,0,2,0,13,Jump Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,train
0,56,0,0,3,10,54,Jump Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,train
-15,15,0,0,3,7,48,Dunk Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,test
42,118,0,0,4,6,3,Jump Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,train
-5,-5,1,0,4,1,34,Alley Oop Dunk Shot,2PT Field Goal,NOH,SAS,New Orleans Hornets,20121031,Regular Season,train
144,7,0,0,1,11,27,Jump Shot,2PT Field Goal,NOH,UTA,New Orleans Hornets,20121102,Regular Season,train
-18,31,1,0,1,9,11,Jump Shot,2PT Field Goal,NOH,UTA,New Orleans Hornets,20121102,Regular Season,train
-11,3,1,0,1,6,8,Putback Slam Dunk Shot,2PT Field Goal,NOH,UTA,New Orleans Hornets,20121102,Regular Season,test
15,9,1,0,1,4,55,Driving Slam Dunk Shot,2PT Field Goal,NOH,UTA,New Orleans Hornets,20121102,Regular Season,train
-2,0,1,0,2,7,47,Putback Slam Dunk Shot,2PT Field Goal,NOH,UTA,New Orleans Hornets,20121102,Regular Season,train
113,165,0,0,2,5,16,Jump Shot,2PT Field Goal,NOH,UTA,New Orleans Hornets,20121102,Regular Season,train
39,20,0,0,1,11,16,Jump Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
58,19,0,0,1,9,30,Jump Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,test
116,192,0,0,1,4,58,Jump Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
23,6,1,0,1,2,59,Layup Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
23,1,0,0,2,8,55,Layup Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,test
-26,6,0,0,2,7,52,Layup Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
78,22,1,0,2,2,49,Running Jump Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
-37,42,1,0,2,2,6,Jump Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
151,-2,1,0,2,1,44,Jump Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
152,198,0,1,3,11,36,Jump Shot,3PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
-21,11,1,0,3,10,2,Layup Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
-4,3,1,0,3,7,21,Dunk Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
-18,20,1,0,3,6,48,Putback Layup Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
-23,14,1,0,3,6,5,Putback Layup Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
4,26,1,0,3,5,42,Layup Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,test
94,71,0,0,4,11,24,Jump Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
21,7,0,0,4,4,51,Layup Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,train
18,7,0,0,4,3,45,Layup Shot,2PT Field Goal,NOH,CHA,New Orleans Hornets,20121109,Regular Season,test
157,112,0,0,1,11,45,Jump Shot,2PT Field Goal,HOU,NOH,New Orleans Hornets,20121114,Regular Season,train
-2,1,0,0,1,9,26,Layup Shot,2PT Field Goal,HOU,NOH,New Orleans Hornets,20121114,Regular Season,train
2,-6,1,0,2,6,23,Dunk Shot,2PT Field Goal,HOU,NOH,New Orleans Hornets,20121114,Regular Season,train
4,190,0,0,2,4,58,Jump Shot,2PT Field Goal,HOU,NOH,New Orleans Hornets,20121114,Regular Season,test
135,39,0,0,3,11,18,Jump Shot,2PT Field Goal,HOU,NOH,New Orleans Hornets,20121114,Regular Season,train
1,1,1,0,3,3,34,Putback Slam Dunk Shot,2PT Field Goal,HOU,NOH,New Orleans Hornets,20121114,Regular Season,train
54,93,0,0,4,7,6,Jump Shot,2PT Field Goal,HOU,NOH,New Orleans Hornets,20121114,Regular Season,test
-82,181,1,0,1,9,2,Jump Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,test
28,58,0,0,1,8,15,Jump Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
-21,9,0,0,1,6,20,Layup Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
-70,17,0,0,1,6,0,Jump Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
-136,26,0,0,1,3,48,Jump Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
83,241,0,1,2,7,41,Jump Shot,3PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
129,31,0,0,2,7,5,Jump Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
12,6,0,0,2,4,47,Layup Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
-19,14,1,0,2,3,45,Dunk Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
-70,26,1,0,2,2,38,Driving Jump shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
-174,134,0,0,2,1,17,Jump Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
21,20,0,0,3,9,8,Layup Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
1,12,1,0,3,8,11,Tip Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,test
4,6,0,0,3,4,48,Layup Shot,2PT Field Goal,NOH,OKC,New Orleans Hornets,20121116,Regular Season,train
2,1,1,0,1,7,17,Layup Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
118,121,1,0,1,5,55,Jump Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
0,3,1,0,1,3,56,Dunk Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
-7,3,0,0,2,5,55,Layup Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
-8,-2,0,0,2,5,53,Layup Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
17,48,1,0,3,11,23,Jump Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
62,36,1,0,3,9,23,Jump Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
-15,33,1,0,3,8,45,Jump Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
15,3,1,0,4,7,38,Dunk Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
7,9,1,0,4,6,7,Tip Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
58,19,0,0,4,5,0,Jump Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,test
-5,6,1,0,4,2,39,Layup Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
-71,25,1,0,4,2,2,Jump Shot,2PT Field Goal,MIL,NOH,New Orleans Hornets,20121117,Regular Season,train
95,61,0,0,1,4,18,Jump Shot,2PT Field Goal,NOH,WAS,New Orleans Hornets,20121211,Regular Season,test
173,53,1,0,1,0,53,Jump Shot,2PT Field Goal,NOH,WAS,New Orleans Hornets,20121211,Regular Season,train
-23,15,1,0,2,11,18,Driving Layup Shot,2PT Field Goal,NOH,WAS,New Orleans Hornets,20121211,Regular Season,train
-16,6,0,0,2,3,51,Layup Shot,2PT Field Goal,NOH,WAS,New Orleans Hornets,20121211,Regular Season,test
13,0,0,0,3,4,33,Alley Oop Dunk Shot,2PT Field Goal,NOH,WAS,New Orleans Hornets,20121211,Regular Season,train
