X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
28,3,0,0,1,11,44,Layup Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
-4,7,1,0,1,5,58,Driving Dunk Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
-18,0,0,0,1,5,33,Layup Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,test
-62,22,0,0,1,4,1,Jump Bank Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
-2,19,0,0,2,4,24,Layup Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
4,6,1,0,3,8,27,Slam Dunk Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
-27,200,1,0,3,7,51,Jump Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,test
-157,107,0,0,3,5,18,Jump Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,test
-188,66,0,0,3,3,15,Jump Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
-10,3,1,0,3,2,29,Alley Oop Dunk Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
114,151,0,0,1,11,39,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-18,50,0,0,1,9,52,Hook Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
26,205,1,0,1,7,55,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-84,162,0,0,1,4,29,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
10,28,1,0,1,3,6,Putback Dunk Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-5,15,1,0,2,1,58,Driving Dunk Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
34,17,0,0,3,11,14,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,test
124,146,0,0,3,8,30,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-43,31,0,0,3,7,12,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,test
-18,17,0,0,3,7,9,Layup Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-11,22,1,0,3,4,29,Layup Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
20,36,1,0,3,2,25,Hook Bank Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-10,17,1,0,3,0,30,Driving Layup Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,test
-150,26,0,0,4,4,18,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-134,224,0,1,4,1,49,Jump Shot,3PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-10,30,0,0,1,11,42,Layup Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
-4,23,0,0,1,11,39,Layup Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,test
-97,19,0,0,1,9,11,Turnaround Fadeaway shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
-60,208,0,0,1,5,21,Jump Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
20,22,1,0,1,2,29,Layup Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
7,22,1,0,1,2,2,Reverse Slam Dunk Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
37,173,0,0,2,4,27,Jump Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,test
-4,9,1,0,2,0,2,Running Slam Dunk Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
4,26,0,0,3,10,1,Driving Reverse Layup Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
31,209,0,0,3,9,13,Jump Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
2,30,1,0,3,7,15,Driving Finger Roll Layup Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
28,26,0,0,4,1,12,Turnaround Jump Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
-120,159,0,0,1,10,9,Jump Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
0,66,0,0,1,8,38,Running Hook Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
-15,44,1,0,1,6,50,Hook Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
31,19,1,0,1,5,49,Jump Bank Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
-226,-10,0,1,2,4,21,Jump Shot,3PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
-131,162,1,0,3,9,16,Jump Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
6,211,0,0,3,7,44,Jump Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
152,96,1,0,3,5,12,Jump Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
-166,102,0,0,3,4,10,Jump Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
26,3,1,0,3,1,58,Layup Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,test
21,6,1,0,3,1,10,Driving Slam Dunk Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
-26,0,1,0,4,5,8,Alley Oop Dunk Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
-40,45,1,0,4,3,46,Jump Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,test
-2,7,1,0,4,0,40,Slam Dunk Shot,2PT Field Goal,LAC,CLE,Los Angeles Clippers,20121105,Regular Season,train
32,22,0,0,1,11,5,Jump Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
81,172,0,0,1,9,40,Jump Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
10,30,1,0,1,6,3,Jump Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
-26,22,1,0,1,4,27,Slam Dunk Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,test
75,167,0,0,1,3,36,Jump Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
39,69,0,0,1,1,50,Jump Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
-65,4,0,0,2,5,42,Jump Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
-23,25,1,0,2,4,38,Jump Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
10,80,1,0,2,0,45,Hook Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
21,30,1,0,3,10,51,Layup Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
122,143,1,0,3,9,14,Jump Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
29,58,0,0,3,6,11,Hook Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
12,19,1,0,4,7,16,Alley Oop Dunk Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
-21,30,1,0,4,6,29,Alley Oop Dunk Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
160,110,1,0,4,5,56,Jump Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
15,34,1,0,4,4,47,Alley Oop Dunk Shot,2PT Field Goal,LAC,SAS,Los Angeles Clippers,20121107,Regular Season,train
170,30,1,0,1,9,35,Step Back Jump shot,2PT Field Goal,POR,LAC,Los Angeles Clippers,20121108,Regular Season,train
-76,203,0,0,1,8,3,Jump Shot,2PT Field Goal,POR,LAC,Los Angeles Clippers,20121108,Regular Season,test
31,3,0,0,1,7,46,Driving Layup Shot,2PT Field Goal,POR,LAC,Los Angeles Clippers,20121108,Regular Season,test
15,48,0,0,1,4,26,Jump Shot,2PT Field Goal,POR,LAC,Los Angeles Clippers,20121108,Regular Season,test
-160,15,0,0,2,2,33,Step Back Jump shot,2PT Field Goal,POR,LAC,Los Angeles Clippers,20121108,Regular Season,train
-157,82,0,0,3,10,12,Jump Shot,2PT Field Goal,POR,LAC,Los Angeles Clippers,20121108,Regular Season,test
-128,15,0,0,3,8,23,Turnaround Bank shot,2PT Field Goal,POR,LAC,Los Angeles Clippers,20121108,Regular Season,train
-4,-2,1,0,3,7,32,Alley Oop Dunk Shot,2PT Field Goal,POR,LAC,Los Angeles Clippers,20121108,Regular Season,train
-160,3,1,0,4,3,32,Jump Shot,2PT Field Goal,POR,LAC,Los Angeles Clippers,20121108,Regular Season,train
-26,42,0,0,1,11,17,Hook Shot,2PT Field Goal,LAC,ATL,Los Angeles Clippers,20121111,Regular Season,test
10,48,1,0,1,10,42,Hook Shot,2PT Field Goal,LAC,ATL,Los Angeles Clippers,20121111,Regular Season,train
-100,184,0,0,1,6,24,Jump Shot,2PT Field Goal,LAC,ATL,Los Angeles Clippers,20121111,Regular Season,train
6,12,1,0,1,3,26,Dunk Shot,2PT Field Goal,LAC,ATL,Los Angeles Clippers,20121111,Regular Season,train
-60,200,0,0,1,0,40,Jump Shot,2PT Field Goal,LAC,ATL,Los Angeles Clippers,20121111,Regular Season,test
-161,85,1,0,2,0,30,Jump Shot,2PT Field Goal,LAC,ATL,Los Angeles Clippers,20121111,Regular Season,train
34,33,1,0,3,8,42,Hook Bank Shot,2PT Field Goal,LAC,ATL,Los Angeles Clippers,20121111,Regular Season,test
