X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-144,153,0,0,1,8,58,Jump Shot,2PT Field Goal,CLE,WAS,Washington Wizards,20121030,Regular Season,train
242,28,1,1,1,7,34,Jump Shot,3PT Field Goal,CLE,WAS,Washington Wizards,20121030,Regular Season,train
162,195,1,1,1,5,54,Jump Shot,3PT Field Goal,CLE,WAS,Washington Wizards,20121030,Regular Season,train
166,140,0,0,1,5,1,Jump Shot,2PT Field Goal,CLE,WAS,Washington Wizards,20121030,Regular Season,train
-185,55,0,0,2,4,16,Jump Shot,2PT Field Goal,CLE,WAS,Washington Wizards,20121030,Regular Season,train
6,-10,0,0,2,0,37,Layup Shot,2PT Field Goal,CLE,WAS,Washington Wizards,20121030,Regular Season,test
-224,105,0,1,4,2,51,Jump Shot,3PT Field Goal,CLE,WAS,Washington Wizards,20121030,Regular Season,test
-160,194,0,1,4,0,29,Jump Shot,3PT Field Goal,CLE,WAS,Washington Wizards,20121030,Regular Season,test
203,1,0,0,1,7,33,Jump Shot,2PT Field Goal,WAS,BOS,Washington Wizards,20121103,Regular Season,train
-122,36,0,0,1,5,23,Jump Shot,2PT Field Goal,WAS,BOS,Washington Wizards,20121103,Regular Season,train
-212,146,0,1,2,2,7,Jump Shot,3PT Field Goal,WAS,BOS,Washington Wizards,20121103,Regular Season,train
31,-38,0,0,3,7,2,Jump Shot,2PT Field Goal,WAS,BOS,Washington Wizards,20121103,Regular Season,test
207,143,0,1,4,8,41,Jump Shot,3PT Field Goal,WAS,BOS,Washington Wizards,20121103,Regular Season,test
13,198,0,0,1,8,46,Jump Shot,2PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
51,200,0,0,1,8,19,Jump Shot,2PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
-239,25,1,1,1,7,25,Jump Shot,3PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
166,192,0,1,1,6,55,Jump Shot,3PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
211,138,0,1,1,3,10,Jump Shot,3PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
113,3,0,0,2,4,28,Pullup Jump shot,2PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
-234,0,1,1,2,3,18,Jump Shot,3PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
-177,178,0,1,3,10,20,Jump Shot,3PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,test
23,12,1,0,3,7,19,Layup Shot,2PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
230,77,0,1,3,5,31,Jump Shot,3PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
-100,145,1,0,4,5,53,Pullup Jump shot,2PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,test
-8,261,1,1,4,1,54,Jump Shot,3PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
-68,213,0,0,5,1,33,Jump Shot,2PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
-142,208,0,1,5,0,18,Jump Shot,3PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
6,3,1,0,5,0,0,Driving Finger Roll Layup Shot,2PT Field Goal,BOS,WAS,Washington Wizards,20121107,Regular Season,train
-183,86,1,0,1,11,23,Jump Shot,2PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,train
0,-5,1,0,1,10,15,Layup Shot,2PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,train
-185,86,0,0,1,8,36,Jump Shot,2PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,train
-191,78,1,0,1,1,55,Jump Shot,2PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,test
31,268,0,1,2,0,37,Jump Shot,3PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,train
-182,110,1,0,3,10,55,Jump Shot,2PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,test
187,-28,0,0,3,9,10,Jump Shot,2PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,train
-5,-5,1,0,3,8,5,Slam Dunk Shot,2PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,test
-235,-16,0,1,3,5,23,Jump Shot,3PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,train
143,146,1,0,3,3,24,Jump Shot,2PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,train
-172,134,0,0,4,7,49,Jump Shot,2PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,test
-207,126,0,1,4,1,47,Jump Shot,3PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,train
9,11,1,0,4,1,8,Slam Dunk Shot,2PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,train
239,71,0,1,4,0,43,Jump Shot,3PT Field Goal,WAS,MIL,Washington Wizards,20121109,Regular Season,train
-70,252,1,1,1,11,7,Jump Bank Shot,3PT Field Goal,IND,WAS,Washington Wizards,20121110,Regular Season,test
177,104,1,0,1,8,44,Jump Shot,2PT Field Goal,IND,WAS,Washington Wizards,20121110,Regular Season,test
-138,138,0,0,1,5,27,Jump Shot,2PT Field Goal,IND,WAS,Washington Wizards,20121110,Regular Season,train
34,30,1,0,1,2,52,Driving Bank shot,2PT Field Goal,IND,WAS,Washington Wizards,20121110,Regular Season,train
-187,53,0,0,1,2,10,Jump Shot,2PT Field Goal,IND,WAS,Washington Wizards,20121110,Regular Season,train
-27,6,0,0,2,0,11,Driving Layup Shot,2PT Field Goal,IND,WAS,Washington Wizards,20121110,Regular Season,train
-127,184,1,0,3,8,41,Jump Shot,2PT Field Goal,IND,WAS,Washington Wizards,20121110,Regular Season,test
-90,157,0,0,3,3,23,Jump Shot,2PT Field Goal,IND,WAS,Washington Wizards,20121110,Regular Season,train
130,217,1,1,3,1,27,Jump Shot,3PT Field Goal,IND,WAS,Washington Wizards,20121110,Regular Season,train
-183,-3,0,0,4,5,41,Jump Shot,2PT Field Goal,IND,WAS,Washington Wizards,20121110,Regular Season,train
28,252,1,1,4,1,33,Jump Shot,3PT Field Goal,IND,WAS,Washington Wizards,20121110,Regular Season,train
230,82,0,1,1,10,50,Jump Shot,3PT Field Goal,CHA,WAS,Washington Wizards,20121113,Regular Season,train
173,48,0,0,1,10,44,Jump Shot,2PT Field Goal,CHA,WAS,Washington Wizards,20121113,Regular Season,train
-237,0,1,1,1,5,9,Jump Shot,3PT Field Goal,CHA,WAS,Washington Wizards,20121113,Regular Season,test
0,121,0,0,1,3,58,Jump Shot,2PT Field Goal,CHA,WAS,Washington Wizards,20121113,Regular Season,test
165,197,0,1,2,1,21,Jump Shot,3PT Field Goal,CHA,WAS,Washington Wizards,20121113,Regular Season,train
103,170,0,0,3,10,39,Jump Shot,2PT Field Goal,CHA,WAS,Washington Wizards,20121113,Regular Season,train
-234,4,0,1,3,10,30,Jump Shot,3PT Field Goal,CHA,WAS,Washington Wizards,20121113,Regular Season,train
12,14,0,0,3,9,10,Layup Shot,2PT Field Goal,CHA,WAS,Washington Wizards,20121113,Regular Season,train
-56,187,0,0,3,5,43,Jump Shot,2PT Field Goal,CHA,WAS,Washington Wizards,20121113,Regular Season,train
-174,187,0,1,4,4,53,Jump Shot,3PT Field Goal,CHA,WAS,Washington Wizards,20121113,Regular Season,train
234,17,0,1,4,4,11,Jump Shot,3PT Field Goal,CHA,WAS,Washington Wizards,20121113,Regular Season,train
-228,-5,1,1,1,8,40,Jump Shot,3PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
-224,-5,0,1,1,7,7,Jump Shot,3PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
-221,-5,1,1,1,7,3,Jump Shot,3PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
-228,0,0,1,1,6,30,Step Back Jump shot,3PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
0,3,1,0,1,3,47,Driving Layup Shot,2PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
206,131,0,1,2,9,20,Jump Shot,3PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
0,33,0,0,2,5,18,Driving Layup Shot,2PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
207,127,0,1,2,4,10,Jump Shot,3PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
13,4,0,0,2,3,20,Layup Shot,2PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
37,30,0,0,2,1,49,Driving Jump shot,2PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
-8,6,0,0,2,0,2,Driving Dunk Shot,2PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
-157,149,0,0,3,10,50,Jump Shot,2PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,test
36,121,0,0,3,6,49,Driving Jump shot,2PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
-139,134,0,0,3,5,12,Pullup Jump shot,2PT Field Goal,DAL,WAS,Washington Wizards,20121114,Regular Season,train
-5,-6,1,0,2,10,41,Layup Shot,2PT Field Goal,WAS,UTA,Washington Wizards,20121117,Regular Season,train
0,1,1,0,2,9,36,Running Layup Shot,2PT Field Goal,WAS,UTA,Washington Wizards,20121117,Regular Season,train
7,-11,1,0,2,8,36,Dunk Shot,2PT Field Goal,WAS,UTA,Washington Wizards,20121117,Regular Season,train
0,-17,0,0,4,10,44,Layup Shot,2PT Field Goal,WAS,UTA,Washington Wizards,20121117,Regular Season,train
-188,44,0,0,4,8,7,Jump Shot,2PT Field Goal,WAS,UTA,Washington Wizards,20121117,Regular Season,test
