X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-163,102,0,0,1,11,20,Jump Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
230,-13,0,1,1,8,39,Jump Shot,3PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
-103,67,1,0,1,4,44,Jump Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
-89,83,0,0,1,3,22,Driving Jump shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
-13,9,0,0,1,0,49,Driving Layup Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,test
23,12,1,0,1,0,3,Driving Layup Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
14,14,1,0,2,11,38,Layup Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
-106,160,0,0,2,9,36,Jump Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,test
20,4,1,0,2,8,6,Alley Oop Dunk Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
231,119,1,1,2,4,2,Jump Shot,3PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
165,-6,0,0,2,3,0,Turnaround Jump Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,test
-16,4,1,0,2,0,29,Layup Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,test
15,268,1,1,3,10,58,Jump Shot,3PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
-139,121,1,0,3,6,33,Jump Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
-123,137,1,0,3,6,5,Jump Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
13,105,0,0,3,0,23,Fadeaway Jump Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
-120,26,0,0,4,9,13,Jump Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
1,14,0,0,4,7,24,Layup Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
24,6,1,0,4,6,43,Layup Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
2,252,1,1,4,3,37,Jump Shot,3PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,test
-26,11,0,0,4,2,50,Driving Layup Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,test
24,7,0,0,4,2,47,Layup Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,test
-139,74,0,0,4,0,4,Jump Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
119,220,0,1,5,2,43,Jump Shot,3PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
23,6,0,0,5,0,48,Driving Layup Shot,2PT Field Goal,BKN,NYK,New York Knicks,20121126,Regular Season,train
-154,18,0,0,1,11,43,Jump Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-239,-36,0,1,1,11,10,Jump Shot,3PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
174,54,1,0,1,9,47,Jump Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
124,213,1,1,1,7,20,Jump Shot,3PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,test
-235,-29,1,1,1,6,34,Jump Shot,3PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-26,7,0,0,1,4,55,Layup Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,test
-11,18,0,0,1,4,51,Layup Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
156,-7,1,0,1,2,44,Jump Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
160,202,1,1,1,1,14,Pullup Jump shot,3PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-215,138,1,1,1,0,0,Jump Shot,3PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,test
11,6,0,0,2,6,47,Driving Reverse Layup Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
8,1,1,0,2,6,36,Driving Layup Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-41,12,0,0,2,4,26,Jump Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-26,10,0,0,2,4,23,Layup Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-151,21,0,0,2,3,0,Jump Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
140,65,0,0,2,2,45,Jump Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
200,147,0,1,2,1,43,Jump Shot,3PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
16,14,0,0,2,1,10,Driving Layup Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,test
198,158,0,1,2,0,4,Jump Shot,3PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-14,240,0,1,3,11,11,Jump Shot,3PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-23,6,0,0,3,10,20,Driving Layup Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,test
2,9,0,0,3,10,6,Dunk Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
146,56,1,0,3,7,40,Turnaround Jump Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,test
-12,7,1,0,3,6,22,Driving Layup Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-129,87,0,0,3,1,30,Jump Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-140,7,0,0,3,0,1,Jump Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-143,54,1,0,4,8,24,Jump Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
189,17,0,0,4,3,11,Jump Shot,2PT Field Goal,NYK,MIA,New York Knicks,20121102,Regular Season,train
-231,42,0,1,1,11,4,Jump Shot,3PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
17,6,1,0,1,9,31,Layup Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,test
-179,171,1,1,1,7,0,Jump Shot,3PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
97,160,1,0,1,2,16,Jump Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
91,94,0,0,1,1,54,Jump Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
-22,4,1,0,2,5,8,Driving Layup Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
-168,102,0,0,2,4,26,Jump Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,test
-25,15,1,0,2,4,3,Driving Layup Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
11,22,1,0,2,0,1,Driving Finger Roll Layup Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
129,89,1,0,3,11,20,Turnaround Jump Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
141,109,1,0,3,10,46,Jump Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
159,80,0,0,3,8,22,Jump Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
157,235,0,1,3,5,31,Jump Shot,3PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
-157,199,0,1,3,1,12,Jump Shot,3PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
-64,146,1,0,4,7,34,Fadeaway Jump Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,test
-96,86,0,0,4,5,22,Jump Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
167,9,1,0,4,4,29,Jump Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,test
-25,18,0,0,4,3,29,Driving Layup Shot,2PT Field Goal,NYK,PHI,New York Knicks,20121104,Regular Season,train
-164,201,0,1,1,11,17,Jump Shot,3PT Field Goal,PHI,NYK,New York Knicks,20121105,Regular Season,train
201,164,0,1,1,8,45,Jump Shot,3PT Field Goal,PHI,NYK,New York Knicks,20121105,Regular Season,train
95,-28,0,0,1,6,53,Turnaround Jump Shot,2PT Field Goal,PHI,NYK,New York Knicks,20121105,Regular Season,test
