X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
17,14,1,0,1,8,8,Driving Layup Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
-67,246,0,1,1,7,45,Jump Shot,3PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
75,116,0,0,1,5,6,Jump Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,test
26,-2,0,0,1,4,47,Layup Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
95,148,1,0,3,7,25,Jump Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
36,28,0,0,3,4,36,Jump Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
0,138,1,0,4,4,18,Jump Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,test
7,14,1,0,4,3,37,Finger Roll Layup Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
-68,272,0,1,4,2,56,Jump Shot,3PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,test
69,31,0,0,4,1,53,Jump Shot,2PT Field Goal,LAC,MEM,Los Angeles Clippers,20121031,Regular Season,train
-60,135,1,0,1,9,31,Fadeaway Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
39,138,0,0,1,8,24,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
18,260,1,1,1,6,11,Jump Shot,3PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
234,3,0,1,1,0,27,Jump Shot,3PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-105,124,0,0,2,3,45,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-10,11,0,0,2,0,28,Driving Layup Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,test
10,14,1,0,3,9,0,Driving Layup Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-16,153,1,0,3,5,48,Step Back Jump shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,test
144,82,1,0,3,2,49,Running Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-10,22,0,0,3,0,52,Driving Reverse Layup Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
-71,170,0,0,3,0,1,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,test
-23,129,1,0,4,4,51,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,test
26,192,0,0,4,3,21,Jump Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
70,274,0,1,4,2,14,Jump Shot,3PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
20,22,1,0,4,1,8,Driving Layup Shot,2PT Field Goal,LAL,LAC,Los Angeles Clippers,20121102,Regular Season,train
177,173,1,1,1,4,7,Jump Shot,3PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
1,30,0,0,1,3,24,Layup Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
-30,179,0,0,2,1,55,Jump Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
36,104,0,0,3,8,22,Floating Jump shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,test
12,151,0,0,3,6,8,Jump Shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
-73,172,0,0,3,5,1,Step Back Jump shot,2PT Field Goal,LAC,GSW,Los Angeles Clippers,20121103,Regular Season,train
