X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
226,7,0,1,2,11,36,Jump Shot,3PT Field Goal,POR,ORL,Portland Trail Blazers,20140108,Regular Season,train
-87,157,1,0,2,11,26,Jump Shot,2PT Field Goal,POR,ORL,Portland Trail Blazers,20140108,Regular Season,train
177,12,0,0,4,11,1,Pullup Jump shot,2PT Field Goal,POR,ORL,Portland Trail Blazers,20140108,Regular Season,test
10,0,1,0,4,0,49,Driving Finger Roll Layup Shot,2PT Field Goal,POR,ORL,Portland Trail Blazers,20140108,Regular Season,train
21,257,0,1,4,0,12,Jump Shot,3PT Field Goal,POR,ORL,Portland Trail Blazers,20140108,Regular Season,train
179,165,1,1,1,2,41,Jump Shot,3PT Field Goal,POR,BOS,Portland Trail Blazers,20140111,Regular Season,test
228,6,1,1,1,0,29,Jump Shot,3PT Field Goal,POR,BOS,Portland Trail Blazers,20140111,Regular Season,train
45,187,1,0,2,9,57,Jump Shot,2PT Field Goal,POR,BOS,Portland Trail Blazers,20140111,Regular Season,train
176,11,0,0,2,9,18,Fadeaway Jump Shot,2PT Field Goal,POR,BOS,Portland Trail Blazers,20140111,Regular Season,train
-201,138,0,1,2,8,7,Jump Shot,3PT Field Goal,POR,BOS,Portland Trail Blazers,20140111,Regular Season,test
20,30,1,0,3,0,56,Jump Shot,2PT Field Goal,POR,BOS,Portland Trail Blazers,20140111,Regular Season,train
228,0,0,1,1,0,25,Jump Shot,3PT Field Goal,POR,CLE,Portland Trail Blazers,20140115,Regular Season,train
40,23,1,0,4,10,46,Running Jump Shot,2PT Field Goal,POR,CLE,Portland Trail Blazers,20140115,Regular Season,train
121,143,0,0,4,8,40,Jump Shot,2PT Field Goal,POR,CLE,Portland Trail Blazers,20140115,Regular Season,train
138,22,0,0,2,11,28,Jump Shot,2PT Field Goal,SAS,POR,Portland Trail Blazers,20140117,Regular Season,train
4,53,1,0,2,7,52,Jump Shot,2PT Field Goal,SAS,POR,Portland Trail Blazers,20140117,Regular Season,test
218,140,0,1,2,7,27,Jump Shot,3PT Field Goal,SAS,POR,Portland Trail Blazers,20140117,Regular Season,train
-98,162,1,0,4,10,59,Jump Shot,2PT Field Goal,SAS,POR,Portland Trail Blazers,20140117,Regular Season,train
99,101,0,0,4,10,24,Jump Shot,2PT Field Goal,SAS,POR,Portland Trail Blazers,20140117,Regular Season,test
-92,228,0,1,1,2,16,Jump Shot,3PT Field Goal,DAL,POR,Portland Trail Blazers,20140118,Regular Season,train
53,89,1,0,2,11,0,Driving Jump shot,2PT Field Goal,DAL,POR,Portland Trail Blazers,20140118,Regular Season,test
195,146,1,1,2,10,7,Jump Shot,3PT Field Goal,DAL,POR,Portland Trail Blazers,20140118,Regular Season,train
20,17,0,0,4,10,25,Layup Shot,2PT Field Goal,DAL,POR,Portland Trail Blazers,20140118,Regular Season,test
78,78,0,0,4,10,16,Jump Shot,2PT Field Goal,DAL,POR,Portland Trail Blazers,20140118,Regular Season,train
67,20,1,0,4,9,43,Jump Shot,2PT Field Goal,DAL,POR,Portland Trail Blazers,20140118,Regular Season,train
48,192,0,0,4,7,22,Jump Shot,2PT Field Goal,DAL,POR,Portland Trail Blazers,20140118,Regular Season,train
31,11,0,0,1,0,57,Driving Layup Shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20140120,Regular Season,train
-155,195,1,1,1,0,5,Jump Shot,3PT Field Goal,HOU,POR,Portland Trail Blazers,20140120,Regular Season,train
21,23,1,0,4,9,15,Layup Shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20140120,Regular Season,train
-149,110,0,0,4,3,28,Jump Shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20140120,Regular Season,train
48,216,0,0,4,2,46,Step Back Jump shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20140120,Regular Season,test
69,154,1,0,4,0,57,Pullup Jump shot,2PT Field Goal,HOU,POR,Portland Trail Blazers,20140120,Regular Season,train
147,198,0,1,4,0,6,Jump Shot,3PT Field Goal,HOU,POR,Portland Trail Blazers,20140120,Regular Season,train
-228,4,0,1,1,0,0,Jump Shot,3PT Field Goal,OKC,POR,Portland Trail Blazers,20140121,Regular Season,train
-226,0,1,1,4,11,31,Jump Shot,3PT Field Goal,OKC,POR,Portland Trail Blazers,20140121,Regular Season,train
-78,119,1,0,4,10,1,Running Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20140121,Regular Season,train
73,31,0,0,1,0,30,Running Jump Shot,2PT Field Goal,POR,DEN,Portland Trail Blazers,20140123,Regular Season,test
231,14,1,1,2,11,30,Jump Shot,3PT Field Goal,POR,DEN,Portland Trail Blazers,20140123,Regular Season,train
136,205,0,1,2,10,54,Jump Shot,3PT Field Goal,POR,DEN,Portland Trail Blazers,20140123,Regular Season,train
23,7,0,0,2,8,37,Driving Layup Shot,2PT Field Goal,POR,DEN,Portland Trail Blazers,20140123,Regular Season,test
136,443,0,1,3,0,0,Jump Shot,3PT Field Goal,POR,DEN,Portland Trail Blazers,20140123,Regular Season,train
121,224,1,1,4,9,20,Jump Shot,3PT Field Goal,POR,DEN,Portland Trail Blazers,20140123,Regular Season,test
174,6,1,0,2,9,53,Jump Shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20140125,Regular Season,train
77,230,0,1,2,8,16,Jump Shot,3PT Field Goal,POR,MIN,Portland Trail Blazers,20140125,Regular Season,train
-24,6,0,0,3,1,1,Driving Finger Roll Layup Shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20140125,Regular Season,train
4,222,1,0,4,8,53,Jump Shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20140125,Regular Season,train
24,153,1,0,4,8,16,Pullup Jump shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20140125,Regular Season,test
4,217,0,0,4,0,43,Step Back Jump shot,2PT Field Goal,POR,MIN,Portland Trail Blazers,20140125,Regular Season,train
-212,143,0,1,1,1,3,Jump Shot,3PT Field Goal,GSW,POR,Portland Trail Blazers,20140126,Regular Season,train
105,119,1,0,2,11,19,Jump Shot,2PT Field Goal,GSW,POR,Portland Trail Blazers,20140126,Regular Season,train
160,208,0,1,2,10,54,Jump Shot,3PT Field Goal,GSW,POR,Portland Trail Blazers,20140126,Regular Season,train
-202,168,1,1,2,8,12,Jump Shot,3PT Field Goal,GSW,POR,Portland Trail Blazers,20140126,Regular Season,train
-142,132,0,0,3,0,48,Running Jump Shot,2PT Field Goal,GSW,POR,Portland Trail Blazers,20140126,Regular Season,train
99,160,0,0,4,10,53,Jump Shot,2PT Field Goal,GSW,POR,Portland Trail Blazers,20140126,Regular Season,train
84,239,0,1,4,1,26,Jump Shot,3PT Field Goal,GSW,POR,Portland Trail Blazers,20140126,Regular Season,train
-133,167,0,0,1,0,13,Jump Shot,2PT Field Goal,POR,MEM,Portland Trail Blazers,20140128,Regular Season,train
-128,216,0,1,2,11,42,Jump Shot,3PT Field Goal,POR,MEM,Portland Trail Blazers,20140128,Regular Season,train
-134,219,0,1,3,0,0,Jump Shot,3PT Field Goal,POR,MEM,Portland Trail Blazers,20140128,Regular Season,train
-136,-10,0,0,4,0,3,Jump Shot,2PT Field Goal,POR,MEM,Portland Trail Blazers,20140128,Regular Season,test
0,156,1,0,1,3,38,Pullup Jump shot,2PT Field Goal,POR,TOR,Portland Trail Blazers,20140201,Regular Season,test
-147,154,0,0,2,11,6,Jump Shot,2PT Field Goal,POR,TOR,Portland Trail Blazers,20140201,Regular Season,test
-201,164,0,1,2,8,49,Jump Shot,3PT Field Goal,POR,TOR,Portland Trail Blazers,20140201,Regular Season,test
-87,242,0,1,2,11,45,Jump Shot,3PT Field Goal,WAS,POR,Portland Trail Blazers,20140203,Regular Season,train
39,20,0,0,2,9,41,Jump Shot,2PT Field Goal,WAS,POR,Portland Trail Blazers,20140203,Regular Season,test
-235,58,1,1,1,1,11,Jump Shot,3PT Field Goal,IND,POR,Portland Trail Blazers,20140207,Regular Season,test
-8,9,1,0,3,3,3,Finger Roll Layup Shot,2PT Field Goal,IND,POR,Portland Trail Blazers,20140207,Regular Season,train
15,165,1,0,3,2,27,Pullup Jump shot,2PT Field Goal,IND,POR,Portland Trail Blazers,20140207,Regular Season,train
-161,3,1,0,3,1,39,Jump Shot,2PT Field Goal,IND,POR,Portland Trail Blazers,20140207,Regular Season,train
-229,85,0,1,1,2,50,Jump Shot,3PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,train
23,3,1,0,1,1,44,Driving Dunk Shot,2PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,train
21,9,0,0,1,0,4,Driving Layup Shot,2PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,test
-52,97,0,0,2,11,38,Jump Shot,2PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,train
-182,175,1,1,2,9,48,Pullup Jump shot,3PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,train
64,242,1,1,2,5,47,Jump Shot,3PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,train
-152,30,1,0,2,1,50,Jump Shot,2PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,test
6,42,1,0,2,0,44,Jump Shot,2PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,train
-15,246,1,1,3,2,47,Jump Shot,3PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,train
-142,198,0,1,3,1,59,Jump Shot,3PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,test
-15,19,0,0,4,11,34,Layup Shot,2PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,train
12,244,0,1,4,8,24,Pullup Jump shot,3PT Field Goal,MIN,POR,Portland Trail Blazers,20140208,Regular Season,train
83,208,0,0,1,2,41,Jump Shot,2PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,train
42,244,1,1,1,0,34,Jump Shot,3PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,train
2,255,1,1,2,10,23,Jump Shot,3PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,train
1,249,1,1,2,9,6,Jump Shot,3PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,train
-86,56,1,0,2,8,11,Running Jump Shot,2PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,train
226,45,0,1,3,4,9,Jump Shot,3PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,test
-4,64,0,0,3,2,32,Running Jump Shot,2PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,train
228,82,0,1,4,9,39,Jump Shot,3PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,train
136,156,0,0,4,9,12,Jump Shot,2PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,train
135,217,0,1,4,8,17,Jump Shot,3PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,test
89,30,0,0,4,8,12,Running Jump Shot,2PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,train
45,7,1,0,4,5,45,Running Bank shot,2PT Field Goal,POR,OKC,Portland Trail Blazers,20140211,Regular Season,test
-235,48,1,1,1,3,49,Jump Shot,3PT Field Goal,LAC,POR,Portland Trail Blazers,20140212,Regular Season,train
132,233,0,1,1,2,51,Jump Shot,3PT Field Goal,LAC,POR,Portland Trail Blazers,20140212,Regular Season,train
127,146,0,0,1,0,0,Jump Shot,2PT Field Goal,LAC,POR,Portland Trail Blazers,20140212,Regular Season,train
83,263,1,1,3,1,53,Jump Shot,3PT Field Goal,LAC,POR,Portland Trail Blazers,20140212,Regular Season,train
147,225,1,1,3,1,45,Jump Shot,3PT Field Goal,LAC,POR,Portland Trail Blazers,20140212,Regular Season,test
0,66,1,0,3,0,59,Running Jump Shot,2PT Field Goal,LAC,POR,Portland Trail Blazers,20140212,Regular Season,train
10,36,0,0,4,8,8,Floating Jump shot,2PT Field Goal,LAC,POR,Portland Trail Blazers,20140212,Regular Season,train
-185,179,0,1,1,3,11,Jump Shot,3PT Field Goal,POR,SAS,Portland Trail Blazers,20140219,Regular Season,train
32,213,0,0,1,2,39,Jump Shot,2PT Field Goal,POR,SAS,Portland Trail Blazers,20140219,Regular Season,train
-41,135,1,0,1,0,12,Jump Shot,2PT Field Goal,POR,SAS,Portland Trail Blazers,20140219,Regular Season,train
124,219,0,1,2,9,56,Jump Shot,3PT Field Goal,POR,SAS,Portland Trail Blazers,20140219,Regular Season,train
-235,11,0,1,1,1,31,Jump Shot,3PT Field Goal,POR,UTA,Portland Trail Blazers,20140221,Regular Season,train
62,93,0,0,2,9,41,Jump Shot,2PT Field Goal,POR,UTA,Portland Trail Blazers,20140221,Regular Season,train
4,11,1,0,2,9,19,Driving Layup Shot,2PT Field Goal,POR,UTA,Portland Trail Blazers,20140221,Regular Season,train
154,-10,1,0,2,7,58,Step Back Jump shot,2PT Field Goal,POR,UTA,Portland Trail Blazers,20140221,Regular Season,train
136,217,0,1,2,7,24,Jump Shot,3PT Field Goal,POR,UTA,Portland Trail Blazers,20140221,Regular Season,train
-15,19,0,0,3,5,53,Layup Shot,2PT Field Goal,POR,UTA,Portland Trail Blazers,20140221,Regular Season,train
