X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-16,186,1,0,1,11,11,Jump Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,train
-163,135,0,0,1,6,58,Jump Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,train
6,-2,1,0,1,5,42,Running Dunk Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,train
7,15,1,0,1,4,3,Hook Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,test
1,7,1,0,2,3,27,Running Dunk Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,train
26,55,0,0,3,11,44,Jump Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,test
-11,12,0,0,3,10,8,Putback Layup Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,train
0,7,1,0,3,10,6,Tip Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,train
0,60,0,0,3,9,3,Floating Jump shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,train
-168,44,0,0,3,8,36,Jump Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,test
-17,14,1,0,4,3,53,Layup Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,train
84,0,0,0,4,3,2,Hook Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,train
-46,200,0,0,4,1,38,Jump Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,train
9,16,1,0,4,0,19,Layup Shot,2PT Field Goal,CHI,SAC,Sacramento Kings,20121031,Regular Season,train
-128,60,1,0,1,11,14,Jump Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,test
-153,126,0,0,1,10,44,Jump Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,train
4,107,1,0,1,10,15,Running Jump Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,train
24,61,0,0,1,6,50,Running Jump Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,train
-100,30,0,0,3,7,49,Turnaround Jump Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,test
-8,209,1,0,3,6,40,Jump Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,test
-19,-5,0,0,4,8,29,Layup Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,train
-8,19,1,0,4,7,30,Layup Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,train
-4,187,0,0,4,6,55,Jump Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,test
92,30,0,0,4,5,23,Jump Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,train
-2,14,0,0,4,3,21,Driving Layup Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,train
-18,216,1,0,4,2,29,Jump Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,train
7,203,0,0,4,1,59,Jump Shot,2PT Field Goal,MIN,SAC,Sacramento Kings,20121102,Regular Season,train
173,0,0,0,1,11,24,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
6,11,1,0,1,10,45,Tip Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
91,162,0,0,1,9,38,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,test
-8,1,1,0,1,9,8,Tip Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
-146,94,0,0,1,7,13,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
140,131,1,0,1,5,56,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
-56,83,0,0,1,3,30,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
4,39,0,0,1,2,19,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,test
6,17,0,0,1,1,43,Tip Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
39,66,1,0,1,0,35,Jump Hook Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
127,116,0,0,2,5,10,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,test
2,94,1,0,2,2,27,Turnaround Fadeaway shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
-2,11,1,0,3,11,2,Dunk Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
-149,142,1,0,3,9,22,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,test
-155,102,0,0,3,8,18,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
13,12,0,0,3,7,41,Layup Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
119,6,0,0,3,6,48,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
6,-14,0,0,3,5,42,Layup Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
-34,58,0,0,4,5,38,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
2,-11,0,0,4,4,57,Layup Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
18,-8,0,0,4,1,47,Layup Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
-26,52,0,0,5,1,37,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
1,0,1,0,5,0,57,Dunk Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
-41,30,0,0,6,4,19,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
13,3,0,0,6,3,20,Layup Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
28,6,1,0,6,0,29,Layup Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
39,7,0,0,6,0,10,Jump Shot,2PT Field Goal,IND,SAC,Sacramento Kings,20121103,Regular Season,train
-8,1,1,0,1,10,54,Putback Dunk Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,test
-71,194,0,0,1,8,1,Jump Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,train
-49,83,1,0,1,6,32,Jump Bank Hook Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,train
-127,156,0,0,1,5,41,Jump Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,test
-4,12,1,0,1,0,6,Dunk Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,train
-4,0,0,0,2,11,17,Tip Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,test
155,45,1,0,2,10,30,Turnaround Jump Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,test
-7,63,0,0,2,10,1,Jump Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,test
-19,33,1,0,3,10,47,Finger Roll Layup Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,test
-2,1,1,0,3,10,31,Driving Dunk Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,train
23,7,1,0,3,8,22,Layup Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,train
20,6,1,0,3,3,38,Layup Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,train
59,181,1,0,3,2,58,Jump Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,train
-138,22,0,0,3,1,5,Jump Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,train
12,44,1,0,4,4,46,Running Jump Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,train
-8,66,0,0,4,0,12,Jump Shot,2PT Field Goal,SAC,GSW,Sacramento Kings,20121105,Regular Season,test
165,23,0,0,1,8,16,Jump Shot,2PT Field Goal,SAC,DET,Sacramento Kings,20121107,Regular Season,train
-8,11,1,0,1,7,40,Putback Dunk Shot,2PT Field Goal,SAC,DET,Sacramento Kings,20121107,Regular Season,train
-23,1,1,0,1,3,7,Layup Shot,2PT Field Goal,SAC,DET,Sacramento Kings,20121107,Regular Season,train
-43,11,1,0,1,1,19,Finger Roll Layup Shot,2PT Field Goal,SAC,DET,Sacramento Kings,20121107,Regular Season,train
147,148,0,0,1,0,37,Jump Shot,2PT Field Goal,SAC,DET,Sacramento Kings,20121107,Regular Season,test
10,4,1,0,2,1,50,Driving Slam Dunk Shot,2PT Field Goal,SAC,DET,Sacramento Kings,20121107,Regular Season,train
-105,153,0,0,2,0,38,Jump Shot,2PT Field Goal,SAC,DET,Sacramento Kings,20121107,Regular Season,train
-153,126,0,0,3,11,20,Jump Shot,2PT Field Goal,SAC,DET,Sacramento Kings,20121107,Regular Season,test
7,14,0,0,3,10,40,Layup Shot,2PT Field Goal,SAC,DET,Sacramento Kings,20121107,Regular Season,train
-65,30,0,0,3,5,40,Jump Shot,2PT Field Goal,SAC,DET,Sacramento Kings,20121107,Regular Season,train
