X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
179,47,0,0,1,10,14,Fadeaway Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-60,53,1,0,1,6,40,Jump Bank Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-163,99,0,0,1,6,10,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,test
34,6,0,0,1,5,19,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-2,7,1,0,1,4,5,Alley Oop Dunk Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-103,157,1,0,2,10,4,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,test
2,99,0,0,2,9,1,Running Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
26,7,0,0,2,6,49,Running Dunk Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,test
7,3,1,0,2,2,26,Driving Reverse Layup Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-5,200,0,0,3,11,0,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
15,0,1,0,3,10,23,Layup Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-57,58,0,0,3,9,11,Floating Jump shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-68,67,1,0,3,8,20,Running Bank shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
12,7,1,0,3,6,46,Tip Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
182,19,0,0,3,6,13,Fadeaway Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
100,-13,0,0,4,8,50,Running Hook Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
0,12,1,0,4,7,22,Driving Finger Roll Layup Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-101,159,1,0,4,6,53,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-158,145,0,0,4,6,20,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,test
-179,31,0,0,4,5,14,Pullup Jump shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
