X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-56,236,0,1,1,11,22,Jump Shot,3PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,train
-18,1,0,0,1,3,56,Driving Layup Shot,2PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,test
1,15,1,0,2,6,55,Driving Layup Shot,2PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,train
135,205,0,1,2,6,28,Jump Shot,3PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,train
-65,91,0,0,2,5,47,Jump Shot,2PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,train
226,-2,0,1,2,1,13,Jump Shot,3PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,test
-16,3,0,0,2,0,43,Layup Shot,2PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,train
-64,101,1,0,2,0,5,Jump Shot,2PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,train
0,-2,1,0,3,9,19,Layup Shot,2PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,train
-13,145,0,0,3,8,27,Jump Shot,2PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,train
65,238,1,1,3,6,1,Jump Shot,3PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,train
230,-8,0,1,4,2,41,Jump Shot,3PT Field Goal,PHX,GSW,Phoenix Suns,20121031,Regular Season,train
88,145,1,0,1,8,34,Jump Shot,2PT Field Goal,PHX,DET,Phoenix Suns,20121102,Regular Season,train
-7,14,1,0,1,5,43,Driving Layup Shot,2PT Field Goal,PHX,DET,Phoenix Suns,20121102,Regular Season,train
-8,3,0,0,1,4,42,Layup Shot,2PT Field Goal,PHX,DET,Phoenix Suns,20121102,Regular Season,train
-7,20,0,0,2,4,51,Layup Shot,2PT Field Goal,PHX,DET,Phoenix Suns,20121102,Regular Season,test
-13,260,1,1,2,3,47,Jump Shot,3PT Field Goal,PHX,DET,Phoenix Suns,20121102,Regular Season,train
17,186,1,0,3,6,44,Jump Shot,2PT Field Goal,PHX,DET,Phoenix Suns,20121102,Regular Season,test
-8,7,1,0,3,5,38,Driving Reverse Layup Shot,2PT Field Goal,PHX,DET,Phoenix Suns,20121102,Regular Season,train
-15,219,0,0,3,2,51,Jump Shot,2PT Field Goal,PHX,DET,Phoenix Suns,20121102,Regular Season,train
-235,17,0,1,3,0,50,Jump Shot,3PT Field Goal,PHX,DET,Phoenix Suns,20121102,Regular Season,test
-16,23,0,0,4,0,58,Layup Shot,2PT Field Goal,PHX,DET,Phoenix Suns,20121102,Regular Season,train
9,0,1,0,1,9,8,Driving Layup Shot,2PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,test
-196,148,0,1,1,7,45,Jump Shot,3PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,train
-8,11,0,0,1,4,49,Layup Shot,2PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,train
-190,12,1,0,2,0,1,Jump Shot,2PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,train
10,189,1,0,3,11,47,Jump Shot,2PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,train
-127,208,0,1,3,4,51,Jump Shot,3PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,train
-163,9,0,0,3,0,32,Jump Shot,2PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,test
48,239,0,1,4,7,18,Jump Shot,3PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,train
-32,12,0,0,4,6,11,Jump Shot,2PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,train
-78,153,1,0,4,2,23,Pullup Jump shot,2PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,train
-109,219,1,1,4,1,50,Jump Shot,3PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,train
-7,246,0,1,4,1,29,Jump Shot,3PT Field Goal,ORL,PHX,Phoenix Suns,20121104,Regular Season,test
-122,131,0,0,1,10,3,Jump Shot,2PT Field Goal,MIA,PHX,Phoenix Suns,20121105,Regular Season,train
236,6,1,1,1,8,23,Jump Shot,3PT Field Goal,MIA,PHX,Phoenix Suns,20121105,Regular Season,train
13,9,0,0,1,6,11,Layup Shot,2PT Field Goal,MIA,PHX,Phoenix Suns,20121105,Regular Season,test
193,11,0,0,1,4,41,Fadeaway Jump Shot,2PT Field Goal,MIA,PHX,Phoenix Suns,20121105,Regular Season,train
89,233,1,1,1,0,2,Jump Shot,3PT Field Goal,MIA,PHX,Phoenix Suns,20121105,Regular Season,train
-240,55,0,1,2,4,31,Jump Shot,3PT Field Goal,MIA,PHX,Phoenix Suns,20121105,Regular Season,train
1,11,0,0,2,2,39,Driving Layup Shot,2PT Field Goal,MIA,PHX,Phoenix Suns,20121105,Regular Season,train
-75,34,1,0,2,1,9,Running Jump Shot,2PT Field Goal,MIA,PHX,Phoenix Suns,20121105,Regular Season,train
100,105,0,0,2,1,4,Jump Bank Shot,2PT Field Goal,MIA,PHX,Phoenix Suns,20121105,Regular Season,train
-10,7,1,0,1,10,12,Layup Shot,2PT Field Goal,CHA,PHX,Phoenix Suns,20121107,Regular Season,train
140,214,1,1,1,4,49,Jump Shot,3PT Field Goal,CHA,PHX,Phoenix Suns,20121107,Regular Season,test
-70,246,1,1,1,3,44,Jump Shot,3PT Field Goal,CHA,PHX,Phoenix Suns,20121107,Regular Season,train
184,187,0,1,2,4,19,Jump Shot,3PT Field Goal,CHA,PHX,Phoenix Suns,20121107,Regular Season,train
-5,160,0,0,3,10,47,Jump Shot,2PT Field Goal,CHA,PHX,Phoenix Suns,20121107,Regular Season,train
129,219,0,1,3,9,3,Jump Shot,3PT Field Goal,CHA,PHX,Phoenix Suns,20121107,Regular Season,train
226,12,1,1,3,6,2,Jump Shot,3PT Field Goal,CHA,PHX,Phoenix Suns,20121107,Regular Season,train
6,-3,1,0,3,5,35,Driving Layup Shot,2PT Field Goal,CHA,PHX,Phoenix Suns,20121107,Regular Season,test
-2,64,0,0,3,2,55,Jump Shot,2PT Field Goal,CHA,PHX,Phoenix Suns,20121107,Regular Season,train
-128,219,0,1,4,1,53,Jump Shot,3PT Field Goal,CHA,PHX,Phoenix Suns,20121107,Regular Season,train
-114,227,0,1,1,10,19,Jump Shot,3PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,train
1,1,1,0,1,5,10,Driving Dunk Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,test
-2,17,1,0,1,4,49,Layup Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,train
-23,36,0,0,1,2,56,Jump Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,train
-153,-8,1,0,2,3,16,Jump Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,test
-7,19,1,0,2,1,17,Layup Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,test
-198,-3,0,0,2,1,10,Jump Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,train
-10,9,1,0,3,11,10,Layup Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,train
-4,12,1,0,3,8,6,Layup Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,train
62,64,0,0,3,7,42,Fadeaway Jump Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,test
-11,4,1,0,3,6,36,Driving Reverse Layup Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,train
2,6,1,0,3,4,20,Driving Layup Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,train
6,14,0,0,3,3,58,Layup Shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,test
144,197,0,1,3,3,14,Jump Shot,3PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,test
106,224,0,1,4,4,56,Jump Shot,3PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,train
-40,145,1,0,4,3,56,Pullup Jump shot,2PT Field Goal,PHX,CLE,Phoenix Suns,20121109,Regular Season,train
160,-21,1,0,1,8,19,Jump Shot,2PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,train
-59,52,0,0,1,6,23,Jump Bank Shot,2PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,test
4,151,1,0,1,2,58,Jump Shot,2PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,test
24,3,1,0,1,0,33,Driving Layup Shot,2PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,train
-231,47,0,1,2,1,55,Jump Shot,3PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,train
-21,7,1,0,2,1,29,Driving Layup Shot,2PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,train
17,23,0,0,2,0,0,Layup Shot,2PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,test
-150,187,1,1,3,10,22,Jump Shot,3PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,train
-62,123,1,0,3,8,32,Jump Shot,2PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,train
-60,85,0,0,3,7,50,Running Jump Shot,2PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,train
130,219,0,1,3,4,26,Jump Shot,3PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,test
203,143,0,1,4,7,47,Jump Shot,3PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,train
-147,205,0,1,4,1,10,Jump Shot,3PT Field Goal,UTA,PHX,Phoenix Suns,20121110,Regular Season,train
72,165,0,0,1,6,30,Jump Shot,2PT Field Goal,PHX,DEN,Phoenix Suns,20121112,Regular Season,train
89,235,1,1,1,4,56,Jump Shot,3PT Field Goal,PHX,DEN,Phoenix Suns,20121112,Regular Season,train
