X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-190,44,0,0,1,10,22,Jump Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
110,154,1,0,1,8,33,Jump Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
-5,3,0,0,1,7,35,Layup Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
-5,4,1,0,1,7,33,Layup Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
-2,4,1,0,1,5,3,Driving Layup Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
-4,1,0,0,1,3,28,Driving Layup Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,test
89,247,1,1,2,11,0,Jump Shot,3PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
-4,7,1,0,2,10,32,Driving Layup Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,test
-147,230,0,1,2,9,13,Jump Shot,3PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,test
1,1,1,0,2,7,37,Layup Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
0,-2,1,0,2,5,59,Layup Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
45,181,1,0,2,5,26,Jump Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
111,124,0,0,2,4,24,Jump Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,test
-141,222,0,1,2,0,35,Jump Shot,3PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,test
-177,219,0,1,2,0,0,Jump Shot,3PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
-5,3,1,0,3,11,8,Driving Layup Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
-5,0,1,0,3,9,1,Dunk Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
2,60,0,0,3,6,56,Jump Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
28,263,1,1,3,3,40,Jump Shot,3PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
-81,244,1,1,3,1,31,Jump Shot,3PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
100,246,0,1,3,0,20,Jump Shot,3PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
-27,260,0,1,3,0,1,Jump Shot,3PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,test
-116,241,1,1,4,10,41,Jump Shot,3PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
-4,0,1,0,4,1,27,Driving Reverse Layup Shot,2PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,train
-7,250,0,1,4,0,25,Jump Shot,3PT Field Goal,DET,HOU,Houston Rockets,20121031,Regular Season,test
7,58,0,0,1,11,21,Driving Jump shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
154,208,0,1,1,8,3,Jump Shot,3PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
-95,178,1,0,1,7,30,Jump Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
-4,7,1,0,1,7,16,Running Layup Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
18,6,1,0,1,3,6,Driving Layup Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
149,149,1,0,1,2,30,Jump Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
-8,11,1,0,2,6,47,Driving Layup Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,test
20,0,1,0,2,2,24,Running Dunk Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
174,192,1,1,2,1,50,Jump Shot,3PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
-56,247,0,1,3,9,48,Jump Shot,3PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
7,0,1,0,3,9,19,Dunk Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
13,0,1,0,3,9,0,Running Dunk Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
209,164,1,1,3,7,11,Jump Shot,3PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
-38,69,0,0,3,3,38,Driving Jump shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
13,6,1,0,3,2,29,Running Layup Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,test
-56,186,0,0,4,8,30,Jump Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
18,0,1,0,4,5,22,Driving Layup Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
-62,159,1,0,4,3,54,Jump Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
-5,3,1,0,4,3,39,Driving Layup Shot,2PT Field Goal,ATL,HOU,Houston Rockets,20121102,Regular Season,train
1,1,1,0,1,11,27,Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,test
-21,6,0,0,1,10,25,Driving Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,test
15,4,1,0,1,10,22,Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
1,3,1,0,1,6,1,Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,test
190,31,0,0,1,4,34,Step Back Jump shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
187,99,1,0,1,3,40,Jump Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
209,145,1,1,2,5,56,Jump Shot,3PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-19,4,0,0,2,5,23,Reverse Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-48,220,1,0,2,3,51,Step Back Jump shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-24,3,0,0,2,3,21,Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-232,0,0,1,2,1,55,Jump Shot,3PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
21,11,0,0,2,1,18,Driving Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
105,186,0,0,2,0,31,Jump Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-11,14,0,0,3,9,40,Driving Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-8,23,0,0,3,6,52,Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-10,6,1,0,3,4,13,Driving Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-204,61,0,0,4,8,21,Jump Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-15,15,1,0,4,7,25,Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
209,145,0,1,4,5,4,Jump Shot,3PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-95,236,0,1,4,4,13,Jump Shot,3PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-8,0,0,0,4,2,28,Driving Layup Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
114,242,0,1,4,1,49,Jump Shot,3PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
-5,60,0,0,5,3,51,Running Jump Shot,2PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
47,260,0,1,5,0,45,Jump Shot,3PT Field Goal,HOU,POR,Houston Rockets,20121103,Regular Season,train
127,129,0,0,1,11,23,Jump Shot,2PT Field Goal,HOU,DEN,Houston Rockets,20121107,Regular Season,train
53,238,0,1,1,10,41,Jump Shot,3PT Field Goal,HOU,DEN,Houston Rockets,20121107,Regular Season,train
2,-10,1,0,1,7,6,Layup Shot,2PT Field Goal,HOU,DEN,Houston Rockets,20121107,Regular Season,train
-130,151,0,0,1,1,52,Jump Shot,2PT Field Goal,HOU,DEN,Houston Rockets,20121107,Regular Season,test
6,-6,1,0,2,3,19,Driving Layup Shot,2PT Field Goal,HOU,DEN,Houston Rockets,20121107,Regular Season,test
141,201,0,1,2,2,10,Jump Shot,3PT Field Goal,HOU,DEN,Houston Rockets,20121107,Regular Season,train
54,236,0,1,2,0,0,Jump Shot,3PT Field Goal,HOU,DEN,Houston Rockets,20121107,Regular Season,test
39,19,0,0,3,9,4,Running Jump Shot,2PT Field Goal,HOU,DEN,Houston Rockets,20121107,Regular Season,train
