X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
12,20,1,0,2,4,41,Layup Shot,2PT Field Goal,CHI,SAC,Chicago Bulls,20121031,Regular Season,train
0,9,1,0,2,4,30,Putback Layup Shot,2PT Field Goal,CLE,CHI,Chicago Bulls,20121102,Regular Season,train
-51,37,0,0,2,3,56,Jump Shot,2PT Field Goal,CLE,CHI,Chicago Bulls,20121102,Regular Season,train
69,214,1,0,3,0,1,Jump Shot,2PT Field Goal,CLE,CHI,Chicago Bulls,20121102,Regular Season,test
0,9,1,0,4,11,17,Reverse Layup Shot,2PT Field Goal,CLE,CHI,Chicago Bulls,20121102,Regular Season,train
176,42,1,0,2,3,10,Jump Shot,2PT Field Goal,CHI,NOH,Chicago Bulls,20121103,Regular Season,train
192,41,1,0,2,5,51,Step Back Jump shot,2PT Field Goal,CHI,ORL,Chicago Bulls,20121106,Regular Season,train
-122,101,0,0,4,11,41,Jump Shot,2PT Field Goal,CHI,ORL,Chicago Bulls,20121106,Regular Season,test
10,22,0,0,4,10,16,Tip Shot,2PT Field Goal,CHI,ORL,Chicago Bulls,20121106,Regular Season,train
-146,-3,0,0,2,8,2,Jump Shot,2PT Field Goal,CHI,OKC,Chicago Bulls,20121108,Regular Season,train
-21,12,0,0,2,4,32,Layup Shot,2PT Field Goal,CHI,OKC,Chicago Bulls,20121108,Regular Season,test
-13,15,1,0,2,4,29,Putback Layup Shot,2PT Field Goal,CHI,OKC,Chicago Bulls,20121108,Regular Season,train
0,14,1,0,2,1,44,Tip Shot,2PT Field Goal,CHI,OKC,Chicago Bulls,20121108,Regular Season,test
236,-2,0,1,4,9,22,Jump Shot,3PT Field Goal,CHI,OKC,Chicago Bulls,20121108,Regular Season,train
4,0,1,0,2,4,23,Layup Shot,2PT Field Goal,PHX,CHI,Chicago Bulls,20121114,Regular Season,train
168,42,1,0,2,3,10,Jump Shot,2PT Field Goal,PHX,CHI,Chicago Bulls,20121114,Regular Season,test
1,0,1,0,2,2,51,Dunk Shot,2PT Field Goal,PHX,CHI,Chicago Bulls,20121114,Regular Season,train
203,160,0,1,2,2,4,Jump Shot,3PT Field Goal,LAC,CHI,Chicago Bulls,20121117,Regular Season,train
18,12,1,0,4,7,43,Putback Dunk Shot,2PT Field Goal,LAC,CHI,Chicago Bulls,20121117,Regular Season,train
12,34,0,0,4,7,21,Layup Shot,2PT Field Goal,LAC,CHI,Chicago Bulls,20121117,Regular Season,train
119,132,1,0,4,4,5,Fadeaway Jump Shot,2PT Field Goal,LAC,CHI,Chicago Bulls,20121117,Regular Season,train
138,167,0,0,4,0,16,Jump Shot,2PT Field Goal,LAC,CHI,Chicago Bulls,20121117,Regular Season,train
15,203,1,0,2,5,1,Jump Shot,2PT Field Goal,POR,CHI,Chicago Bulls,20121118,Regular Season,train
-2,-2,1,0,3,0,18,Putback Dunk Shot,2PT Field Goal,POR,CHI,Chicago Bulls,20121118,Regular Season,train
-10,-5,1,0,4,4,41,Driving Reverse Layup Shot,2PT Field Goal,POR,CHI,Chicago Bulls,20121118,Regular Season,train
-229,7,0,1,4,2,36,Jump Shot,3PT Field Goal,POR,CHI,Chicago Bulls,20121118,Regular Season,test
10,14,0,0,4,2,33,Layup Shot,2PT Field Goal,POR,CHI,Chicago Bulls,20121118,Regular Season,train
9,3,1,0,4,0,23,Putback Dunk Shot,2PT Field Goal,POR,CHI,Chicago Bulls,20121118,Regular Season,train
-237,17,0,1,2,8,48,Jump Shot,3PT Field Goal,HOU,CHI,Chicago Bulls,20121121,Regular Season,test
-8,9,1,0,2,3,43,Layup Shot,2PT Field Goal,HOU,CHI,Chicago Bulls,20121121,Regular Season,train
-163,149,0,0,3,3,49,Fadeaway Jump Shot,2PT Field Goal,HOU,CHI,Chicago Bulls,20121121,Regular Season,train
-64,151,1,0,4,10,26,Jump Shot,2PT Field Goal,HOU,CHI,Chicago Bulls,20121121,Regular Season,test
15,7,1,0,4,8,6,Layup Shot,2PT Field Goal,HOU,CHI,Chicago Bulls,20121121,Regular Season,train
179,7,0,0,4,7,18,Pullup Jump shot,2PT Field Goal,HOU,CHI,Chicago Bulls,20121121,Regular Season,train
-160,190,0,1,4,2,38,Jump Shot,3PT Field Goal,HOU,CHI,Chicago Bulls,20121121,Regular Season,train
-4,6,0,0,1,0,12,Layup Shot,2PT Field Goal,MIL,CHI,Chicago Bulls,20121124,Regular Season,train
-146,127,0,0,2,10,58,Jump Shot,2PT Field Goal,MIL,CHI,Chicago Bulls,20121124,Regular Season,test
4,4,1,0,2,8,31,Layup Shot,2PT Field Goal,MIL,CHI,Chicago Bulls,20121124,Regular Season,train
-146,105,0,0,2,7,17,Jump Shot,2PT Field Goal,MIL,CHI,Chicago Bulls,20121124,Regular Season,train
10,3,0,0,2,3,56,Layup Shot,2PT Field Goal,MIL,CHI,Chicago Bulls,20121124,Regular Season,train
9,0,1,0,3,1,41,Layup Shot,2PT Field Goal,MIL,CHI,Chicago Bulls,20121124,Regular Season,test
182,197,0,1,4,8,50,Jump Shot,3PT Field Goal,MIL,CHI,Chicago Bulls,20121124,Regular Season,test
28,45,0,0,1,1,51,Jump Shot,2PT Field Goal,CHI,MIL,Chicago Bulls,20121126,Regular Season,train
28,11,1,0,2,11,39,Layup Shot,2PT Field Goal,CHI,MIL,Chicago Bulls,20121126,Regular Season,train
-8,0,0,0,2,10,21,Tip Shot,2PT Field Goal,CHI,MIL,Chicago Bulls,20121126,Regular Season,test
154,108,1,0,2,9,21,Pullup Jump shot,2PT Field Goal,CHI,MIL,Chicago Bulls,20121126,Regular Season,train
-62,176,0,0,2,11,1,Jump Shot,2PT Field Goal,CHI,DAL,Chicago Bulls,20121128,Regular Season,train
190,6,1,0,2,9,48,Jump Shot,2PT Field Goal,CHI,DAL,Chicago Bulls,20121128,Regular Season,test
-2,153,0,0,3,1,49,Jump Shot,2PT Field Goal,CHI,DAL,Chicago Bulls,20121128,Regular Season,train
26,20,1,0,4,8,28,Driving Layup Shot,2PT Field Goal,CHI,DAL,Chicago Bulls,20121128,Regular Season,test
-235,0,1,1,4,8,28,Jump Shot,3PT Field Goal,CHI,PHI,Chicago Bulls,20121201,Regular Season,train
-180,1,0,0,2,6,9,Jump Shot,2PT Field Goal,CHI,IND,Chicago Bulls,20121204,Regular Season,train
9,4,1,0,4,9,53,Running Layup Shot,2PT Field Goal,CHI,IND,Chicago Bulls,20121204,Regular Season,train
7,20,0,0,4,9,21,Layup Shot,2PT Field Goal,CHI,IND,Chicago Bulls,20121204,Regular Season,train
149,135,1,0,4,5,40,Pullup Jump shot,2PT Field Goal,CHI,IND,Chicago Bulls,20121204,Regular Season,train
83,131,1,0,1,2,8,Jump Shot,2PT Field Goal,CLE,CHI,Chicago Bulls,20121205,Regular Season,train
-30,11,0,0,2,8,29,Jump Shot,2PT Field Goal,CLE,CHI,Chicago Bulls,20121205,Regular Season,train
-243,20,0,1,2,7,1,Jump Shot,3PT Field Goal,CLE,CHI,Chicago Bulls,20121205,Regular Season,train
4,3,1,0,2,5,56,Driving Layup Shot,2PT Field Goal,CLE,CHI,Chicago Bulls,20121205,Regular Season,train
-182,25,0,0,3,2,9,Jump Shot,2PT Field Goal,CLE,CHI,Chicago Bulls,20121205,Regular Season,train
1,-6,1,0,1,0,0,Layup Shot,2PT Field Goal,DET,CHI,Chicago Bulls,20121207,Regular Season,train
-13,20,1,0,3,2,32,Layup Shot,2PT Field Goal,CHI,NYK,Chicago Bulls,20121208,Regular Season,train
26,11,1,0,3,0,15,Reverse Layup Shot,2PT Field Goal,CHI,NYK,Chicago Bulls,20121208,Regular Season,train
36,7,1,0,4,4,3,Driving Layup Shot,2PT Field Goal,CHI,NYK,Chicago Bulls,20121208,Regular Season,train
-11,6,1,0,4,11,26,Running Layup Shot,2PT Field Goal,CHI,LAC,Chicago Bulls,20121211,Regular Season,train
-18,3,0,0,4,8,43,Turnaround Hook Shot,2PT Field Goal,CHI,LAC,Chicago Bulls,20121211,Regular Season,train
12,1,0,0,2,9,57,Layup Shot,2PT Field Goal,PHI,CHI,Chicago Bulls,20121212,Regular Season,train
1,1,1,0,2,9,27,Alley Oop Dunk Shot,2PT Field Goal,PHI,CHI,Chicago Bulls,20121212,Regular Season,train
7,-3,1,0,2,6,59,Layup Shot,2PT Field Goal,PHI,CHI,Chicago Bulls,20121212,Regular Season,train
13,34,0,0,3,0,59,Jump Shot,2PT Field Goal,PHI,CHI,Chicago Bulls,20121212,Regular Season,train
4,194,0,0,4,11,26,Jump Shot,2PT Field Goal,PHI,CHI,Chicago Bulls,20121212,Regular Season,train
-130,112,1,0,4,5,56,Jump Shot,2PT Field Goal,PHI,CHI,Chicago Bulls,20121212,Regular Season,train
-116,217,1,1,4,4,32,Jump Shot,3PT Field Goal,PHI,CHI,Chicago Bulls,20121212,Regular Season,test
170,197,0,1,4,2,50,Jump Shot,3PT Field Goal,PHI,CHI,Chicago Bulls,20121212,Regular Season,train
160,118,0,0,2,7,27,Jump Shot,2PT Field Goal,CHI,BKN,Chicago Bulls,20121215,Regular Season,test
