X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-133,132,0,0,1,4,13,Jump Shot,2PT Field Goal,WAS,ATL,Washington Wizards,20130112,Regular Season,train
92,124,1,0,2,11,7,Jump Shot,2PT Field Goal,WAS,ATL,Washington Wizards,20130112,Regular Season,train
-153,142,0,0,2,9,38,Jump Shot,2PT Field Goal,WAS,ATL,Washington Wizards,20130112,Regular Season,train
2,-5,0,0,3,6,2,Layup Shot,2PT Field Goal,WAS,ATL,Washington Wizards,20130112,Regular Season,train
-2,12,0,0,3,1,31,Layup Shot,2PT Field Goal,WAS,ATL,Washington Wizards,20130112,Regular Season,test
97,0,1,0,3,0,2,Driving Jump shot,2PT Field Goal,WAS,ATL,Washington Wizards,20130112,Regular Season,train
9,208,0,0,4,5,41,Jump Shot,2PT Field Goal,WAS,ATL,Washington Wizards,20130112,Regular Season,test
10,-14,1,0,4,4,25,Driving Layup Shot,2PT Field Goal,WAS,ATL,Washington Wizards,20130112,Regular Season,test
-5,0,1,0,4,3,52,Running Reverse Layup Shot,2PT Field Goal,WAS,ATL,Washington Wizards,20130112,Regular Season,train
-5,-11,1,0,4,2,10,Driving Layup Shot,2PT Field Goal,WAS,ATL,Washington Wizards,20130112,Regular Season,train
6,219,0,0,4,0,50,Jump Shot,2PT Field Goal,WAS,ATL,Washington Wizards,20130112,Regular Season,test
-15,203,0,0,1,3,40,Jump Shot,2PT Field Goal,WAS,ORL,Washington Wizards,20130114,Regular Season,train
-4,-2,1,0,1,1,55,Layup Shot,2PT Field Goal,WAS,ORL,Washington Wizards,20130114,Regular Season,test
72,0,0,0,2,9,52,Jump Shot,2PT Field Goal,WAS,ORL,Washington Wizards,20130114,Regular Season,train
-23,0,0,0,2,9,25,Layup Shot,2PT Field Goal,WAS,ORL,Washington Wizards,20130114,Regular Season,train
133,113,0,0,2,1,17,Jump Shot,2PT Field Goal,WAS,ORL,Washington Wizards,20130114,Regular Season,test
86,179,0,0,2,0,25,Jump Shot,2PT Field Goal,WAS,ORL,Washington Wizards,20130114,Regular Season,train
-182,89,1,0,3,2,0,Jump Shot,2PT Field Goal,WAS,ORL,Washington Wizards,20130114,Regular Season,train
-18,206,1,0,3,0,30,Jump Shot,2PT Field Goal,WAS,ORL,Washington Wizards,20130114,Regular Season,train
-175,58,0,0,1,1,23,Jump Shot,2PT Field Goal,SAC,WAS,Washington Wizards,20130116,Regular Season,test
-2,22,0,0,1,0,48,Layup Shot,2PT Field Goal,SAC,WAS,Washington Wizards,20130116,Regular Season,train
-2,28,1,0,1,0,5,Running Jump Shot,2PT Field Goal,SAC,WAS,Washington Wizards,20130116,Regular Season,train
-30,15,0,0,2,11,7,Jump Shot,2PT Field Goal,SAC,WAS,Washington Wizards,20130116,Regular Season,train
9,67,1,0,2,10,43,Running Jump Shot,2PT Field Goal,SAC,WAS,Washington Wizards,20130116,Regular Season,train
7,26,1,0,2,8,50,Driving Layup Shot,2PT Field Goal,SAC,WAS,Washington Wizards,20130116,Regular Season,test
-21,31,1,0,2,7,25,Alley Oop Layup shot,2PT Field Goal,SAC,WAS,Washington Wizards,20130116,Regular Season,train
-179,89,0,0,2,6,11,Jump Shot,2PT Field Goal,SAC,WAS,Washington Wizards,20130116,Regular Season,train
-158,195,0,1,3,3,52,Jump Shot,3PT Field Goal,SAC,WAS,Washington Wizards,20130116,Regular Season,train
