X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
223,3,1,1,1,7,23,Jump Shot,3PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,train
-235,0,0,1,1,6,29,Jump Shot,3PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,train
-5,25,1,0,1,2,59,Putback Layup Shot,2PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,train
-7,23,0,0,2,6,2,Layup Shot,2PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,test
61,12,0,0,2,3,13,Jump Shot,2PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,train
-11,12,0,0,2,2,56,Layup Shot,2PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,train
-240,3,0,1,3,9,51,Jump Shot,3PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,test
-237,7,1,1,3,7,4,Jump Shot,3PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,train
-2,-5,1,0,3,5,50,Dunk Shot,2PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,train
201,132,0,1,3,5,19,Jump Shot,3PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,train
1,-8,1,0,3,5,5,Dunk Shot,2PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,train
17,14,0,0,4,7,59,Dunk Shot,2PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,train
-231,9,1,1,4,6,30,Jump Shot,3PT Field Goal,NOH,SAS,San Antonio Spurs,20121031,Regular Season,train
-122,131,0,0,1,9,23,Jump Shot,2PT Field Goal,SAS,OKC,San Antonio Spurs,20121101,Regular Season,train
-8,28,0,0,1,6,46,Running Layup Shot,2PT Field Goal,SAS,OKC,San Antonio Spurs,20121101,Regular Season,train
-232,-16,0,1,1,6,4,Jump Shot,3PT Field Goal,SAS,OKC,San Antonio Spurs,20121101,Regular Season,test
13,-3,1,0,2,0,55,Layup Shot,2PT Field Goal,SAS,OKC,San Antonio Spurs,20121101,Regular Season,train
-59,14,0,0,3,11,12,Floating Jump shot,2PT Field Goal,SAS,OKC,San Antonio Spurs,20121101,Regular Season,train
-239,-10,0,1,3,0,27,Jump Shot,3PT Field Goal,SAS,OKC,San Antonio Spurs,20121101,Regular Season,test
13,7,1,0,4,10,34,Layup Shot,2PT Field Goal,SAS,OKC,San Antonio Spurs,20121101,Regular Season,test
241,23,0,1,4,4,47,Jump Shot,3PT Field Goal,SAS,OKC,San Antonio Spurs,20121101,Regular Season,train
10,45,1,0,1,5,47,Jump Shot,2PT Field Goal,SAS,UTA,San Antonio Spurs,20121103,Regular Season,train
89,-8,1,0,2,5,45,Jump Shot,2PT Field Goal,SAS,UTA,San Antonio Spurs,20121103,Regular Season,test
37,22,1,0,3,9,31,Driving Bank shot,2PT Field Goal,SAS,UTA,San Antonio Spurs,20121103,Regular Season,train
-92,67,1,0,4,10,49,Pullup Jump shot,2PT Field Goal,SAS,UTA,San Antonio Spurs,20121103,Regular Season,train
-240,0,1,1,4,1,12,Jump Shot,3PT Field Goal,SAS,UTA,San Antonio Spurs,20121103,Regular Season,train
23,-6,0,0,1,11,9,Layup Shot,2PT Field Goal,SAS,IND,San Antonio Spurs,20121105,Regular Season,train
118,-13,0,0,1,7,21,Jump Shot,2PT Field Goal,SAS,IND,San Antonio Spurs,20121105,Regular Season,train
21,7,1,0,1,5,21,Layup Shot,2PT Field Goal,SAS,IND,San Antonio Spurs,20121105,Regular Season,train
21,4,1,0,2,5,25,Layup Shot,2PT Field Goal,SAS,IND,San Antonio Spurs,20121105,Regular Season,train
28,7,1,0,2,4,16,Layup Shot,2PT Field Goal,SAS,IND,San Antonio Spurs,20121105,Regular Season,train
32,110,0,0,3,10,50,Jump Shot,2PT Field Goal,SAS,IND,San Antonio Spurs,20121105,Regular Season,train
106,230,0,1,3,7,9,Jump Shot,3PT Field Goal,SAS,IND,San Antonio Spurs,20121105,Regular Season,test
