X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-166,67,0,0,1,11,43,Jump Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,train
113,149,1,0,1,8,35,Jump Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,train
20,6,1,0,1,8,1,Driving Layup Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,train
174,97,0,0,1,6,42,Jump Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,train
-34,148,1,0,2,7,51,Jump Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,train
42,108,0,0,2,7,18,Jump Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,test
-117,123,1,0,2,6,30,Jump Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,train
15,7,1,0,2,3,11,Driving Layup Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,train
-112,119,0,0,2,1,24,Jump Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,test
17,6,1,0,2,0,1,Driving Layup Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,train
-23,12,1,0,3,11,6,Driving Layup Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,train
81,246,1,1,3,10,1,Jump Shot,3PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,test
13,9,1,0,3,9,13,Layup Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,train
10,11,0,0,4,8,40,Layup Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,test
-152,104,0,0,4,7,3,Jump Shot,2PT Field Goal,CHA,IND,Charlotte Bobcats,20121102,Regular Season,test
