X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-98,0,0,0,1,10,5,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
228,77,1,1,1,7,59,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
-171,0,1,0,1,4,13,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
195,148,1,1,1,3,45,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
230,78,0,1,1,0,6,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
170,113,0,0,2,3,50,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
-27,14,1,0,3,9,1,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
9,15,0,0,3,8,13,Layup Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
230,66,0,1,3,7,21,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
9,15,0,0,3,7,12,Putback Layup Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
-229,50,1,1,3,6,17,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
-228,-5,0,1,3,5,18,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
-190,115,0,0,4,10,20,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
-95,173,0,0,4,4,47,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
-141,208,1,1,4,4,42,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
40,79,0,0,4,2,21,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
-234,-11,1,1,1,7,27,Fadeaway Jump Shot,3PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
99,197,0,0,1,6,48,Jump Shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,test
80,201,0,0,1,3,35,Jump Shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
127,153,1,0,2,6,19,Jump Shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
110,167,0,0,2,5,48,Pullup Jump shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
147,25,0,0,2,5,0,Floating Jump shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
143,135,1,0,2,1,8,Pullup Jump shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
-29,31,0,0,3,3,16,Floating Jump shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
-5,22,1,0,3,1,22,Driving Finger Roll Layup Shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
201,170,0,1,4,6,27,Jump Shot,3PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
83,143,1,0,1,10,33,Jump Shot,2PT Field Goal,LAC,GSW,Golden State Warriors,20121103,Regular Season,train
159,214,1,1,1,9,5,Jump Shot,3PT Field Goal,LAC,GSW,Golden State Warriors,20121103,Regular Season,train
-13,34,0,0,1,7,10,Driving Layup Shot,2PT Field Goal,LAC,GSW,Golden State Warriors,20121103,Regular Season,test
-116,173,0,0,1,3,10,Jump Shot,2PT Field Goal,LAC,GSW,Golden State Warriors,20121103,Regular Season,train
