X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
6,1,1,0,1,10,52,Driving Layup Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
2,265,1,1,1,5,35,Pullup Jump shot,3PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
7,250,1,1,2,7,33,Jump Shot,3PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,test
-109,108,1,0,2,5,6,Pullup Jump shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
15,19,0,0,2,0,48,Driving Layup Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
40,14,0,0,2,0,0,Driving Layup Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
-5,12,1,0,3,8,20,Driving Layup Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
-166,192,0,1,3,5,4,Jump Shot,3PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
103,164,0,0,3,3,15,Jump Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,test
4,3,1,0,4,4,31,Driving Finger Roll Layup Shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,train
-127,129,0,0,4,1,4,Pullup Jump shot,2PT Field Goal,TOR,IND,Toronto Raptors,20121031,Regular Season,test
6,108,1,0,1,8,24,Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-108,252,1,1,1,7,17,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
151,201,1,1,1,4,29,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
35,17,0,0,1,3,54,Driving Jump shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,test
-158,183,1,1,1,2,57,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-80,248,0,1,1,0,16,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
24,3,0,0,2,11,16,Layup Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
195,161,0,1,2,0,28,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
22,157,1,0,2,0,7,Fadeaway Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,test
-202,146,0,1,3,7,35,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,test
-14,6,1,0,3,6,46,Driving Layup Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-30,4,1,0,3,2,10,Driving Layup Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,test
-202,25,1,0,4,6,23,Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
189,-18,0,0,4,5,50,Jump Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
85,248,1,1,4,1,17,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-26,3,0,0,4,0,52,Driving Layup Shot,2PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,test
119,264,0,1,4,0,41,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-232,-16,0,1,4,0,14,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-17,259,0,1,4,0,2,Jump Shot,3PT Field Goal,BKN,TOR,Toronto Raptors,20121103,Regular Season,train
-226,7,0,1,1,9,19,Jump Shot,3PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
-153,197,1,1,1,4,21,Jump Shot,3PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
-21,11,1,0,1,3,48,Driving Layup Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
-13,12,1,0,2,4,21,Driving Layup Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
-152,162,1,0,2,2,50,Jump Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,test
20,6,1,0,2,0,47,Driving Layup Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
-40,19,1,0,3,6,39,Jump Bank Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
-149,190,1,1,3,2,51,Pullup Jump shot,3PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
75,190,1,0,3,1,12,Turnaround Jump Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,train
-15,14,0,0,4,4,25,Reverse Layup Shot,2PT Field Goal,TOR,MIN,Toronto Raptors,20121104,Regular Season,test
