X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
116,227,1,1,1,10,48,Jump Shot,3PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
118,190,0,0,1,9,42,Jump Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
4,0,1,0,1,9,33,Layup Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
151,23,0,0,1,6,58,Jump Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
2,-13,1,0,1,6,54,Layup Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
-153,71,0,0,1,4,52,Jump Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
-163,187,1,1,1,3,9,Jump Shot,3PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
-237,30,0,1,1,2,34,Jump Shot,3PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,test
97,162,1,0,2,5,56,Jump Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
-93,42,0,0,3,11,35,Jump Bank Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,test
-146,22,1,0,3,9,37,Turnaround Jump Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
-32,247,1,1,3,8,55,Jump Shot,3PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
39,116,0,0,3,5,42,Jump Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,test
45,45,1,0,3,5,23,Jump Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,test
196,154,0,1,3,4,59,Jump Shot,3PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
-29,45,1,0,3,3,11,Jump Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
140,39,0,0,3,2,30,Jump Bank Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
4,-14,1,0,4,5,54,Driving Layup Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
-106,244,0,1,4,5,10,Jump Shot,3PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
-119,170,1,0,4,2,34,Jump Shot,2PT Field Goal,CLE,WAS,Cleveland Cavaliers,20121030,Regular Season,train
174,50,1,0,1,6,0,Jump Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,test
-149,85,0,0,1,4,52,Jump Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,test
-56,77,1,0,1,4,41,Turnaround Jump Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,train
91,176,0,0,1,3,30,Jump Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,train
-130,230,0,1,1,1,45,Jump Shot,3PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,train
91,77,0,0,1,0,11,Turnaround Jump Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,train
-70,86,0,0,2,4,54,Running Jump Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,train
29,91,0,0,2,3,23,Floating Jump shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,train
125,126,1,0,2,2,20,Jump Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,train
0,17,1,0,2,1,41,Driving Layup Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,train
81,47,0,0,3,8,35,Jump Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,train
7,-5,1,0,3,8,27,Layup Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,test
-108,60,0,0,3,6,12,Floating Jump shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,test
-133,104,1,0,3,4,20,Jump Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,test
-86,53,0,0,3,2,20,Jump Shot,2PT Field Goal,CLE,CHI,Cleveland Cavaliers,20121102,Regular Season,train
-76,15,1,0,1,11,19,Jump Bank Shot,2PT Field Goal,MIL,CLE,Cleveland Cavaliers,20121103,Regular Season,train
147,88,1,0,1,8,43,Jump Shot,2PT Field Goal,MIL,CLE,Cleveland Cavaliers,20121103,Regular Season,test
-93,20,1,0,1,4,44,Fadeaway Bank shot,2PT Field Goal,MIL,CLE,Cleveland Cavaliers,20121103,Regular Season,train
59,85,0,0,1,3,48,Jump Shot,2PT Field Goal,MIL,CLE,Cleveland Cavaliers,20121103,Regular Season,train
81,184,1,0,2,6,43,Jump Shot,2PT Field Goal,MIL,CLE,Cleveland Cavaliers,20121103,Regular Season,train
-226,6,0,1,2,4,24,Jump Shot,3PT Field Goal,MIL,CLE,Cleveland Cavaliers,20121103,Regular Season,train
132,64,0,0,2,3,27,Jump Shot,2PT Field Goal,MIL,CLE,Cleveland Cavaliers,20121103,Regular Season,train
1,0,1,0,2,2,21,Layup Shot,2PT Field Goal,MIL,CLE,Cleveland Cavaliers,20121103,Regular Season,train
-188,-2,0,0,2,0,0,Jump Shot,2PT Field Goal,MIL,CLE,Cleveland Cavaliers,20121103,Regular Season,train
