X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
170,102,1,0,1,8,11,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-111,168,1,0,1,7,39,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
24,9,1,0,1,7,15,Running Bank Hook Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-105,7,1,0,1,5,56,Turnaround Fadeaway shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-158,97,1,0,1,4,51,Pullup Jump shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
86,206,0,0,1,4,22,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-11,22,1,0,1,4,14,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-182,96,0,0,1,2,44,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-78,67,0,0,2,6,51,Turnaround Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-188,102,0,0,2,4,14,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,test
136,134,0,0,3,11,18,Fadeaway Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,test
26,26,1,0,3,10,14,Driving Hook Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-2,22,0,0,3,9,38,Layup Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,test
7,12,0,0,3,8,51,Driving Dunk Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-23,-2,0,0,3,8,2,Driving Layup Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-98,19,0,0,3,3,42,Turnaround Fadeaway shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
7,190,1,0,4,6,9,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-123,108,0,0,4,5,20,Turnaround Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,test
-111,34,0,0,4,3,13,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-87,189,1,0,4,0,22,Jump Shot,2PT Field Goal,POR,LAL,Portland Trail Blazers,20121031,Regular Season,train
-35,142,0,0,1,11,6,Pullup Jump shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,test
-8,200,1,0,1,7,11,Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-24,12,0,0,1,6,1,Dunk Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
10,198,1,0,1,5,36,Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-144,30,1,0,1,4,58,Step Back Jump shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,test
58,173,0,0,1,2,41,Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
0,145,0,0,1,1,51,Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
37,192,0,0,2,7,12,Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,test
-122,42,0,0,2,5,30,Turnaround Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,test
50,77,1,0,2,4,22,Turnaround Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-150,16,0,0,2,3,14,Fadeaway Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
130,124,0,0,2,0,55,Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-13,0,0,0,2,0,29,Layup Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
-114,28,0,0,3,11,43,Turnaround Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
26,186,0,0,3,9,24,Jump Shot,2PT Field Goal,OKC,POR,Portland Trail Blazers,20121102,Regular Season,train
