X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
122,149,1,0,1,9,44,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-60,165,0,0,1,8,20,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-71,17,1,0,1,4,23,Turnaround Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,test
-8,9,0,0,1,1,2,Driving Layup Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-75,165,1,0,1,0,45,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
0,9,1,0,2,5,52,Alley Oop Dunk Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-86,26,0,0,2,4,7,Turnaround Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,test
-13,115,1,0,2,3,24,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,test
-27,26,0,0,2,0,59,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,test
12,11,1,0,2,0,27,Running Dunk Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-191,159,1,1,3,11,42,Jump Shot,3PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
237,39,0,1,3,9,50,Jump Shot,3PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,test
114,225,1,1,3,7,42,Jump Shot,3PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
81,208,1,0,3,5,45,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-152,162,1,0,4,11,30,Jump Shot,2PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,train
-210,134,0,1,4,11,0,Jump Shot,3PT Field Goal,MIA,BOS,Miami Heat,20121030,Regular Season,test
-22,6,1,0,1,10,8,Driving Layup Shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
11,10,1,0,1,7,57,Driving Layup Shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
-162,37,0,0,1,6,19,Jump Shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
-125,150,0,0,1,5,41,Jump Shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
-28,40,0,0,1,2,23,Jump Shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
71,234,1,1,1,0,52,Jump Shot,3PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
-14,53,1,0,2,4,52,Driving Bank shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
-118,98,1,0,2,2,19,Jump Shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
151,23,0,0,2,1,27,Jump Shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,test
-19,1,1,0,3,8,58,Alley Oop Layup shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
11,39,0,0,3,6,28,Jump Shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,test
63,53,0,0,3,5,31,Fadeaway Jump Shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
-28,12,1,0,3,5,6,Jump Shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
152,20,0,0,3,4,19,Jump Shot,2PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
236,45,1,1,4,8,43,Jump Shot,3PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
211,124,0,1,4,7,33,Jump Shot,3PT Field Goal,NYK,MIA,Miami Heat,20121102,Regular Season,train
-10,12,1,0,1,7,36,Driving Layup Shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,test
77,186,0,0,1,6,1,Jump Shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,train
84,146,0,0,1,3,44,Jump Shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,train
174,52,1,0,1,2,0,Pullup Jump shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,train
12,4,1,0,1,1,6,Driving Layup Shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,train
-109,135,0,0,2,6,23,Jump Shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,test
-73,91,1,0,2,2,21,Fadeaway Jump Shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,train
8,-1,0,0,3,11,3,Alley Oop Layup shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,train
7,4,1,0,3,8,14,Dunk Shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,train
225,4,0,1,3,7,1,Jump Shot,3PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,train
140,142,1,0,3,5,29,Jump Shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,train
4,11,0,0,3,3,46,Driving Finger Roll Layup Shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,train
184,78,0,0,3,3,10,Jump Shot,2PT Field Goal,MIA,DEN,Miami Heat,20121103,Regular Season,train
