X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
37,80,1,0,1,9,19,Jump Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,train
-56,175,1,0,1,7,35,Jump Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,train
97,159,0,0,1,6,34,Jump Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,train
2,0,0,0,1,6,2,Tip Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,test
6,4,1,0,1,3,7,Slam Dunk Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,test
32,77,1,0,2,3,34,Running Hook Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,train
-19,89,1,0,2,3,12,Turnaround Jump Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,train
9,7,1,0,2,2,41,Slam Dunk Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,train
61,52,0,0,3,10,45,Hook Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,train
4,142,1,0,3,9,46,Jump Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,train
2,80,0,0,3,9,13,Hook Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,train
2,6,1,0,3,2,54,Layup Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,test
48,89,0,0,4,4,30,Jump Shot,2PT Field Goal,LAC,MEM,Memphis Grizzlies,20121031,Regular Season,test
2,0,1,0,1,11,10,Layup Shot,2PT Field Goal,GSW,MEM,Memphis Grizzlies,20121102,Regular Season,train
-41,41,0,0,1,7,10,Jump Shot,2PT Field Goal,GSW,MEM,Memphis Grizzlies,20121102,Regular Season,train
-23,168,1,0,1,1,4,Jump Shot,2PT Field Goal,GSW,MEM,Memphis Grizzlies,20121102,Regular Season,test
0,71,1,0,2,10,16,Turnaround Jump Shot,2PT Field Goal,GSW,MEM,Memphis Grizzlies,20121102,Regular Season,train
91,140,0,0,2,8,6,Jump Shot,2PT Field Goal,GSW,MEM,Memphis Grizzlies,20121102,Regular Season,train
-29,28,0,0,2,7,9,Jump Shot,2PT Field Goal,GSW,MEM,Memphis Grizzlies,20121102,Regular Season,train
-4,19,1,0,3,9,28,Running Layup Shot,2PT Field Goal,GSW,MEM,Memphis Grizzlies,20121102,Regular Season,train
