X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-10,58,0,0,1,10,50,Hook Shot,2PT Field Goal,ORL,DEN,Orlando Magic,20121102,Regular Season,train
147,22,0,0,1,9,45,Jump Shot,2PT Field Goal,ORL,DEN,Orlando Magic,20121102,Regular Season,test
0,67,1,0,1,8,5,Hook Shot,2PT Field Goal,ORL,DEN,Orlando Magic,20121102,Regular Season,train
83,47,0,0,1,6,18,Turnaround Hook Shot,2PT Field Goal,ORL,DEN,Orlando Magic,20121102,Regular Season,train
1,12,1,0,1,3,55,Tip Shot,2PT Field Goal,ORL,DEN,Orlando Magic,20121102,Regular Season,train
-2,15,1,0,2,6,17,Dunk Shot,2PT Field Goal,ORL,DEN,Orlando Magic,20121102,Regular Season,train
53,61,0,0,1,9,42,Turnaround Jump Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
9,3,0,0,1,7,59,Layup Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,test
-48,7,1,0,1,7,54,Hook Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
-8,3,0,0,2,11,34,Tip Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
-13,3,0,0,2,5,22,Dunk Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
16,22,0,0,2,5,19,Hook Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
9,6,1,0,2,4,57,Dunk Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
-19,15,1,0,2,3,6,Putback Layup Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
-38,31,1,0,3,6,9,Jump Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
-2,15,1,0,3,5,47,Dunk Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,test
-19,6,1,0,3,3,2,Tip Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
-131,126,0,0,3,1,21,Jump Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
0,6,1,0,3,0,26,Dunk Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,test
29,19,1,0,4,8,20,Hook Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
92,20,0,0,4,4,11,Jump Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,test
7,1,1,0,4,2,4,Slam Dunk Shot,2PT Field Goal,ORL,PHX,Orlando Magic,20121104,Regular Season,train
51,183,0,0,1,8,30,Jump Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,train
42,41,1,0,1,4,2,Jump Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,train
15,11,1,0,1,1,40,Layup Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,train
42,28,0,0,2,5,9,Jump Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,test
163,41,0,0,2,3,51,Jump Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,train
17,6,1,0,2,2,5,Layup Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,train
-10,4,1,0,2,1,25,Running Dunk Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,train
6,17,1,0,3,10,20,Layup Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,train
-49,28,0,0,3,3,51,Hook Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,train
-4,17,0,0,3,0,5,Layup Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,train
10,30,0,0,3,0,4,Tip Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,train
121,33,0,0,4,7,0,Jump Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,test
-108,140,0,0,4,3,30,Jump Shot,2PT Field Goal,CHI,ORL,Orlando Magic,20121106,Regular Season,train
141,39,0,0,1,11,29,Jump Shot,2PT Field Goal,MIN,ORL,Orlando Magic,20121107,Regular Season,train
-15,72,0,0,1,5,47,Turnaround Jump Shot,2PT Field Goal,MIN,ORL,Orlando Magic,20121107,Regular Season,test
-19,22,1,0,3,7,58,Driving Layup Shot,2PT Field Goal,MIN,ORL,Orlando Magic,20121107,Regular Season,train
160,42,0,0,3,6,29,Jump Shot,2PT Field Goal,MIN,ORL,Orlando Magic,20121107,Regular Season,train
-4,12,1,0,1,10,19,Tip Shot,2PT Field Goal,ORL,BKN,Orlando Magic,20121109,Regular Season,test
17,-5,0,0,1,9,43,Layup Shot,2PT Field Goal,ORL,BKN,Orlando Magic,20121109,Regular Season,test
2,71,0,0,2,11,0,Hook Shot,2PT Field Goal,ORL,BKN,Orlando Magic,20121109,Regular Season,train
0,195,1,0,2,8,49,Jump Shot,2PT Field Goal,ORL,BKN,Orlando Magic,20121109,Regular Season,train
-7,22,0,0,2,6,21,Layup Shot,2PT Field Goal,ORL,BKN,Orlando Magic,20121109,Regular Season,train
47,148,0,0,2,5,35,Jump Shot,2PT Field Goal,ORL,BKN,Orlando Magic,20121109,Regular Season,train
113,74,1,0,3,11,4,Jump Shot,2PT Field Goal,ORL,BKN,Orlando Magic,20121109,Regular Season,train
-37,55,0,0,3,6,45,Hook Shot,2PT Field Goal,ORL,BKN,Orlando Magic,20121109,Regular Season,train
0,187,1,0,3,5,16,Jump Shot,2PT Field Goal,ORL,BKN,Orlando Magic,20121109,Regular Season,test
-76,56,1,0,4,9,42,Jump Shot,2PT Field Goal,ORL,BKN,Orlando Magic,20121109,Regular Season,test
-41,7,1,0,1,11,4,Dunk Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
130,148,0,0,1,9,28,Jump Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
-1,16,0,0,1,9,0,Layup Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
-89,52,0,0,1,5,49,Jump Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
19,40,1,0,1,4,41,Driving Layup Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,test
11,4,0,0,2,7,26,Layup Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
-76,135,1,0,2,6,36,Jump Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,test
-105,39,1,0,2,4,44,Jump Bank Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
2,4,0,0,2,0,0,Tip Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
147,-3,0,0,3,11,38,Jump Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
-97,143,0,0,4,8,10,Jump Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
-19,9,1,0,4,6,50,Slam Dunk Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
-15,4,1,0,4,4,4,Layup Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
-13,50,0,0,4,3,30,Jump Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,train
168,31,0,0,4,0,53,Jump Shot,2PT Field Goal,BKN,ORL,Orlando Magic,20121111,Regular Season,test
2,20,1,0,1,5,14,Reverse Layup Shot,2PT Field Goal,ORL,NYK,Orlando Magic,20121113,Regular Season,train
125,74,1,0,1,3,15,Jump Shot,2PT Field Goal,ORL,NYK,Orlando Magic,20121113,Regular Season,train
-86,184,0,0,2,9,34,Jump Shot,2PT Field Goal,ORL,NYK,Orlando Magic,20121113,Regular Season,test
4,-6,0,0,2,4,23,Layup Shot,2PT Field Goal,ORL,NYK,Orlando Magic,20121113,Regular Season,test
9,4,0,0,2,4,18,Layup Shot,2PT Field Goal,ORL,NYK,Orlando Magic,20121113,Regular Season,train
10,15,1,0,2,3,53,Layup Shot,2PT Field Goal,ORL,NYK,Orlando Magic,20121113,Regular Season,train
2,11,1,0,3,7,12,Alley Oop Layup shot,2PT Field Goal,ORL,NYK,Orlando Magic,20121113,Regular Season,test
95,41,1,0,3,2,44,Jump Shot,2PT Field Goal,ORL,NYK,Orlando Magic,20121113,Regular Season,train
160,82,0,0,4,5,27,Jump Shot,2PT Field Goal,ORL,NYK,Orlando Magic,20121113,Regular Season,test
0,20,1,0,4,1,20,Dunk Shot,2PT Field Goal,ORL,NYK,Orlando Magic,20121113,Regular Season,train
34,53,1,0,1,11,15,Hook Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,train
-9,-5,0,0,1,6,33,Tip Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,train
129,138,0,0,1,5,13,Jump Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,test
-70,42,0,0,1,4,33,Hook Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,train
-161,115,0,0,1,2,57,Jump Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,test
-54,12,0,0,2,2,55,Jump Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,train
-41,25,1,0,2,1,57,Hook Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,train
37,168,1,0,3,7,22,Jump Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,train
32,17,0,0,4,9,12,Jump Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,train
13,34,0,0,4,7,15,Hook Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,train
1,1,1,0,4,7,12,Tip Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,train
135,34,1,0,4,2,54,Jump Shot,2PT Field Goal,DET,ORL,Orlando Magic,20121116,Regular Season,test
-134,12,1,0,1,10,46,Turnaround Fadeaway shot,2PT Field Goal,TOR,ORL,Orlando Magic,20121118,Regular Season,train
-2,23,0,0,1,9,8,Driving Finger Roll Layup Shot,2PT Field Goal,TOR,ORL,Orlando Magic,20121118,Regular Season,test
2,25,1,0,1,8,43,Running Layup Shot,2PT Field Goal,TOR,ORL,Orlando Magic,20121118,Regular Season,train
-18,11,1,0,1,6,19,Layup Shot,2PT Field Goal,TOR,ORL,Orlando Magic,20121118,Regular Season,test
111,12,1,0,1,3,33,Turnaround Hook Shot,2PT Field Goal,TOR,ORL,Orlando Magic,20121118,Regular Season,train
59,41,0,0,3,10,6,Turnaround Hook Shot,2PT Field Goal,TOR,ORL,Orlando Magic,20121118,Regular Season,train
146,11,0,0,3,6,45,Jump Shot,2PT Field Goal,TOR,ORL,Orlando Magic,20121118,Regular Season,train
-8,6,0,0,4,9,8,Alley Oop Layup shot,2PT Field Goal,TOR,ORL,Orlando Magic,20121118,Regular Season,train
6,23,0,0,4,7,46,Hook Shot,2PT Field Goal,TOR,ORL,Orlando Magic,20121118,Regular Season,test
17,31,0,0,4,7,3,Hook Shot,2PT Field Goal,TOR,ORL,Orlando Magic,20121118,Regular Season,train
31,44,1,0,4,6,54,Running Jump Shot,2PT Field Goal,TOR,ORL,Orlando Magic,20121118,Regular Season,train
13,30,1,0,1,8,23,Hook Shot,2PT Field Goal,ATL,ORL,Orlando Magic,20121119,Regular Season,train
10,0,1,0,2,4,38,Putback Layup Shot,2PT Field Goal,ATL,ORL,Orlando Magic,20121119,Regular Season,train
-160,110,0,0,2,2,38,Jump Shot,2PT Field Goal,ATL,ORL,Orlando Magic,20121119,Regular Season,train
-101,173,0,0,3,5,46,Jump Shot,2PT Field Goal,ATL,ORL,Orlando Magic,20121119,Regular Season,train
15,52,0,0,1,9,20,Hook Shot,2PT Field Goal,ORL,DET,Orlando Magic,20121121,Regular Season,train
2,12,0,0,1,7,20,Putback Dunk Shot,2PT Field Goal,ORL,DET,Orlando Magic,20121121,Regular Season,train
-24,22,0,0,2,6,5,Driving Layup Shot,2PT Field Goal,ORL,DET,Orlando Magic,20121121,Regular Season,train
9,17,1,0,2,3,58,Layup Shot,2PT Field Goal,ORL,DET,Orlando Magic,20121121,Regular Season,train
-19,20,1,0,3,10,50,Layup Shot,2PT Field Goal,ORL,DET,Orlando Magic,20121121,Regular Season,train
-111,75,1,0,4,7,13,Jump Shot,2PT Field Goal,ORL,DET,Orlando Magic,20121121,Regular Season,test
111,145,0,0,1,9,49,Jump Shot,2PT Field Goal,ORL,CLE,Orlando Magic,20121123,Regular Season,train
