X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-21,3,1,0,1,11,43,Driving Layup Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,train
64,20,0,0,1,11,9,Jump Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,train
-12,14,1,0,1,11,3,Layup Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,train
-139,55,1,0,1,7,20,Turnaround Jump Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,train
-119,53,1,0,1,5,17,Jump Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,train
-65,97,1,0,1,4,25,Fadeaway Jump Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,train
62,72,0,0,1,3,7,Jump Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,train
70,50,0,0,1,2,20,Pullup Jump shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,test
53,179,0,0,1,0,0,Pullup Jump shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,test
-45,72,0,0,2,4,7,Jump Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,test
-7,0,1,0,2,3,14,Dunk Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,train
-188,22,0,0,3,10,43,Jump Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,test
19,11,1,0,3,10,38,Driving Layup Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,train
-87,9,0,0,3,2,45,Turnaround Fadeaway shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,train
136,110,0,0,3,0,35,Jump Shot,2PT Field Goal,TOR,IND,Indiana Pacers,20121031,Regular Season,train
10,15,0,0,1,10,21,Layup Shot,2PT Field Goal,CHA,IND,Indiana Pacers,20121102,Regular Season,train
228,75,1,1,1,9,53,Jump Shot,3PT Field Goal,CHA,IND,Indiana Pacers,20121102,Regular Season,test
231,9,1,1,1,5,51,Jump Shot,3PT Field Goal,CHA,IND,Indiana Pacers,20121102,Regular Season,train
-149,126,0,0,1,3,49,Jump Shot,2PT Field Goal,CHA,IND,Indiana Pacers,20121102,Regular Season,test
118,118,1,0,2,1,41,Jump Shot,2PT Field Goal,CHA,IND,Indiana Pacers,20121102,Regular Season,train
151,205,0,1,3,10,52,Jump Shot,3PT Field Goal,CHA,IND,Indiana Pacers,20121102,Regular Season,test
9,17,0,0,3,8,3,Layup Shot,2PT Field Goal,CHA,IND,Indiana Pacers,20121102,Regular Season,train
225,4,0,1,3,6,11,Jump Shot,3PT Field Goal,CHA,IND,Indiana Pacers,20121102,Regular Season,train
233,17,0,1,3,3,56,Jump Shot,3PT Field Goal,CHA,IND,Indiana Pacers,20121102,Regular Season,train
-8,7,1,0,3,1,8,Tip Shot,2PT Field Goal,CHA,IND,Indiana Pacers,20121102,Regular Season,train
-2,25,0,0,4,0,38,Layup Shot,2PT Field Goal,CHA,IND,Indiana Pacers,20121102,Regular Season,train
237,6,0,1,1,9,22,Jump Shot,3PT Field Goal,IND,SAC,Indiana Pacers,20121103,Regular Season,train
-51,247,0,1,1,6,31,Jump Shot,3PT Field Goal,IND,SAC,Indiana Pacers,20121103,Regular Season,test
86,168,0,0,1,0,13,Jump Shot,2PT Field Goal,IND,SAC,Indiana Pacers,20121103,Regular Season,train
4,12,1,0,2,2,51,Reverse Layup Shot,2PT Field Goal,IND,SAC,Indiana Pacers,20121103,Regular Season,test
228,-11,1,1,2,0,28,Jump Shot,3PT Field Goal,IND,SAC,Indiana Pacers,20121103,Regular Season,train
