X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
154,121,1,0,1,11,2,Pullup Jump shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
99,131,0,0,1,9,55,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
12,135,0,0,1,8,7,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
24,3,1,0,1,5,49,Driving Layup Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,test
65,1,0,0,1,5,5,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,test
-10,17,1,0,1,3,43,Layup Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
-11,47,1,0,2,7,9,Running Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
111,-14,0,0,2,6,7,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,test
166,205,0,1,2,3,15,Jump Shot,3PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,test
26,143,0,0,2,0,24,Pullup Jump shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,test
-114,126,0,0,3,11,2,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
6,26,1,0,3,10,8,Driving Layup Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,test
-138,99,0,0,3,2,0,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
-127,227,0,1,3,1,5,Jump Shot,3PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
40,14,0,0,4,7,12,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,test
-84,80,1,0,4,5,36,Jump Bank Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
21,3,0,0,4,5,10,Layup Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,test
4,20,0,0,4,3,56,Layup Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
-97,135,0,0,4,2,47,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
-153,206,0,1,4,1,41,Jump Shot,3PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
17,12,0,0,4,0,47,Alley Oop Layup shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
-2,6,0,0,1,11,22,Driving Layup Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
24,-5,1,0,1,10,17,Driving Layup Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
-136,80,1,0,1,7,28,Pullup Jump shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
10,-6,1,0,1,6,13,Driving Layup Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
94,129,0,0,1,5,53,Pullup Jump shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,test
-68,63,1,0,1,3,43,Turnaround Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
-11,-2,1,0,2,6,57,Putback Layup Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
21,0,0,0,2,6,24,Layup Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
9,89,0,0,2,2,57,Turnaround Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
18,-5,1,0,2,2,35,Layup Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
-109,25,1,0,2,1,14,Turnaround Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
154,72,1,0,3,11,25,Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
20,-5,1,0,3,10,16,Driving Layup Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
-152,55,1,0,3,9,49,Jump Bank Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
47,239,0,1,3,8,8,Jump Shot,3PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
116,22,0,0,3,5,39,Turnaround Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
12,0,1,0,3,3,23,Driving Layup Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
50,220,0,0,3,1,49,Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
1,4,0,0,3,1,36,Layup Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
21,238,0,1,4,7,8,Jump Shot,3PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
21,-6,0,0,4,6,35,Layup Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
-76,164,0,0,4,5,45,Pullup Jump shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
-52,167,1,0,4,2,22,Pullup Jump shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
31,192,1,0,4,1,18,Pullup Jump shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,test
144,83,0,0,1,9,24,Pullup Jump shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-82,12,0,0,1,6,54,Floating Jump shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-7,-3,1,0,1,6,3,Layup Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-232,3,0,1,1,4,50,Step Back Jump shot,3PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
51,0,0,0,1,3,15,Running Jump Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
15,0,0,0,2,5,58,Driving Layup Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
62,131,1,0,2,0,58,Pullup Jump shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-152,119,0,0,3,11,6,Pullup Jump shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
81,167,0,0,3,8,48,Pullup Jump shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
28,-5,0,0,3,8,12,Driving Layup Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-157,189,1,1,3,6,55,Jump Shot,3PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-193,159,1,1,3,6,24,Jump Shot,3PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-70,129,0,0,3,5,29,Pullup Jump shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,test
166,175,0,1,3,2,14,Jump Shot,3PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-65,126,0,0,4,3,27,Pullup Jump shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,test
-23,-3,1,0,4,2,43,Layup Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-5,239,0,1,4,2,13,Jump Shot,3PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-171,178,0,1,4,0,25,Jump Shot,3PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,test
13,-5,1,0,1,11,18,Alley Oop Layup shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,test
-26,30,0,0,1,7,16,Floating Jump shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
20,0,0,0,1,4,42,Driving Layup Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,test
138,213,0,1,1,3,19,Jump Shot,3PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
72,233,1,1,1,1,45,Jump Shot,3PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
114,214,0,1,2,2,25,Jump Shot,3PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
146,190,1,1,2,0,28,Jump Shot,3PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,test
-8,4,1,0,3,11,48,Driving Layup Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
-45,156,0,0,3,10,11,Jump Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
-120,145,1,0,3,9,47,Pullup Jump shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
83,50,0,0,3,7,7,Jump Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
116,153,0,0,3,5,53,Pullup Jump shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
78,231,0,1,1,9,12,Jump Shot,3PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,test
-175,165,0,1,1,7,26,Jump Shot,3PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-4,14,0,0,1,7,2,Layup Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
3,9,0,0,1,6,58,Layup Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
14,14,0,0,1,6,57,Layup Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-18,11,1,0,1,5,22,Driving Layup Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-147,209,0,1,1,2,21,Jump Shot,3PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-125,222,0,1,2,2,38,Jump Shot,3PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-11,7,1,0,2,2,26,Driving Slam Dunk Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-14,6,0,0,2,1,23,Layup Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,test
20,6,1,0,3,11,45,Running Layup Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-150,195,1,1,3,10,34,Jump Shot,3PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
132,216,0,1,3,8,57,Jump Shot,3PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,test
-157,28,0,0,3,7,51,Jump Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,test
-38,159,0,0,3,7,30,Jump Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
40,246,0,1,3,6,53,Jump Shot,3PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-75,195,0,0,3,4,46,Jump Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-7,17,0,0,3,3,36,Layup Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-2,22,1,0,3,2,12,Driving Layup Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
12,6,1,0,4,5,40,Driving Layup Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
81,134,0,0,4,3,57,Jump Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,test
9,17,1,0,4,2,5,Driving Layup Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
133,134,0,0,1,8,23,Jump Shot,2PT Field Goal,OKC,DET,Oklahoma City Thunder,20121109,Regular Season,train
17,-5,0,0,1,7,16,Driving Layup Shot,2PT Field Goal,OKC,DET,Oklahoma City Thunder,20121109,Regular Season,train
-26,-2,0,0,1,4,53,Layup Shot,2PT Field Goal,OKC,DET,Oklahoma City Thunder,20121109,Regular Season,train
-24,4,0,0,1,4,50,Layup Shot,2PT Field Goal,OKC,DET,Oklahoma City Thunder,20121109,Regular Season,test
-119,-11,0,0,1,3,44,Jump Shot,2PT Field Goal,OKC,DET,Oklahoma City Thunder,20121109,Regular Season,train
