X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-175,61,1,0,1,10,15,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
24,0,0,0,1,8,30,Layup Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
236,12,0,1,1,7,40,Jump Shot,3PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,test
-15,217,0,0,2,4,13,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
1,137,0,0,2,2,45,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
-56,192,0,0,3,7,36,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,test
-139,45,1,0,3,6,12,Jump Shot,2PT Field Goal,SAS,OKC,Oklahoma City Thunder,20121101,Regular Season,train
141,126,0,0,1,9,43,Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
-163,-3,0,0,1,8,37,Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
7,0,1,0,1,7,59,Dunk Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
159,37,0,0,1,6,41,Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
73,146,0,0,1,5,16,Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
6,12,0,0,2,1,43,Alley Oop Dunk Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,test
-136,55,0,0,3,8,44,Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
72,157,1,0,3,7,8,Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
15,-14,0,0,4,4,47,Layup Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,test
-37,3,0,0,4,4,44,Jump Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
-5,-2,1,0,4,2,51,Dunk Shot,2PT Field Goal,OKC,POR,Oklahoma City Thunder,20121102,Regular Season,train
-13,1,0,0,1,10,10,Layup Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-7,0,1,0,2,4,49,Dunk Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
138,1,1,0,3,12,0,Jump Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
78,143,1,0,3,10,40,Jump Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,test
-2,42,1,0,3,9,42,Floating Jump shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-168,77,1,0,3,2,45,Jump Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,test
-231,19,0,1,3,0,0,Jump Shot,3PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
1,7,1,0,4,4,34,Putback Layup Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
162,4,0,0,4,2,45,Jump Shot,2PT Field Goal,OKC,ATL,Oklahoma City Thunder,20121104,Regular Season,train
-5,0,1,0,1,9,38,Dunk Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
20,183,1,0,1,6,59,Jump Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
9,192,1,0,1,5,18,Jump Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
21,172,0,0,2,6,20,Jump Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,test
-7,-2,1,0,2,2,5,Dunk Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
7,-5,1,0,3,11,14,Driving Layup Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
15,108,1,0,3,9,14,Jump Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
9,-2,1,0,3,6,51,Dunk Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,train
-5,3,1,0,3,5,4,Dunk Shot,2PT Field Goal,OKC,TOR,Oklahoma City Thunder,20121106,Regular Season,test
-210,4,0,0,1,11,37,Jump Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-174,0,0,0,1,9,44,Jump Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
-60,39,1,0,1,8,45,Jump Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,train
43,189,0,0,1,5,54,Jump Shot,2PT Field Goal,CHI,OKC,Oklahoma City Thunder,20121108,Regular Season,test
