X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-45,246,0,1,1,8,31,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
-188,102,0,0,1,5,58,Step Back Jump shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
-237,99,0,1,1,5,13,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
157,148,0,0,2,6,18,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
-226,-17,0,1,2,2,43,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
-18,31,0,0,3,10,1,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
-48,17,0,0,3,8,17,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
-10,39,0,0,3,7,16,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
136,208,0,1,4,9,53,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
65,242,0,1,4,9,41,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
84,183,1,0,4,8,20,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
81,20,0,0,4,7,52,Jump Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
32,249,0,1,4,4,10,Jump Shot,3PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,train
21,7,1,0,4,3,1,Driving Layup Shot,2PT Field Goal,PHX,GSW,Golden State Warriors,20121031,Regular Season,test
-198,160,0,1,1,6,14,Jump Shot,3PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
-84,36,0,0,1,5,48,Jump Shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
-234,-3,1,1,1,5,4,Jump Shot,3PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
80,146,1,0,1,0,1,Pullup Jump shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
-142,118,1,0,2,11,44,Jump Bank Shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,test
17,39,1,0,2,11,9,Floating Jump shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
127,183,1,0,2,9,5,Pullup Jump shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
-228,48,1,1,2,8,28,Pullup Jump shot,3PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
-209,142,1,1,2,7,25,Pullup Jump shot,3PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
129,105,0,0,2,3,29,Floating Jump shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
185,12,0,0,2,2,50,Jump Shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
6,23,0,0,2,2,31,Layup Shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,test
124,129,0,0,3,7,43,Pullup Jump shot,2PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
110,239,1,1,3,6,37,Step Back Jump shot,3PT Field Goal,GSW,MEM,Golden State Warriors,20121102,Regular Season,train
