X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-34,0,0,0,1,6,49,Jump Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,train
-16,1,1,0,1,5,37,Layup Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,train
-13,-13,0,0,1,4,41,Layup Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,test
-24,15,0,0,1,4,39,Layup Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,train
-122,60,0,0,1,3,19,Turnaround Jump Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,train
-8,-2,0,0,2,5,54,Layup Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,test
4,20,1,0,2,3,24,Running Hook Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,train
-32,170,1,0,2,2,6,Jump Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,train
-13,7,1,0,3,11,22,Driving Layup Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,train
171,-3,0,0,3,10,18,Jump Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,train
-139,-13,1,0,3,8,11,Turnaround Jump Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,train
0,52,1,0,3,2,43,Turnaround Jump Shot,2PT Field Goal,PHI,DEN,Philadelphia 76ers,20121031,Regular Season,train
-48,50,0,0,1,10,56,Jump Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,train
-19,2,1,0,1,10,13,Tip Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,train
-119,163,0,0,1,9,40,Jump Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,train
-53,29,0,0,1,6,51,Jump Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,train
-25,3,1,0,1,6,48,Layup Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,test
-56,25,0,0,1,2,7,Jump Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,test
14,9,1,0,1,0,54,Layup Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,train
11,25,1,0,2,6,28,Layup Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,test
-25,15,0,0,2,6,5,Layup Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,train
-27,20,0,0,2,6,4,Layup Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,test
-3,9,1,0,3,9,45,Slam Dunk Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,train
-9,17,1,0,3,7,27,Putback Dunk Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,train
-80,9,1,0,3,3,41,Turnaround Hook Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,train
148,54,0,0,3,0,34,Jump Shot,2PT Field Goal,NYK,PHI,Philadelphia 76ers,20121104,Regular Season,train
15,34,1,0,1,11,38,Turnaround Hook Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,train
2,36,0,0,1,11,2,Hook Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,train
-54,112,0,0,1,9,42,Jump Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,train
-17,0,0,0,1,8,50,Layup Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,train
4,31,1,0,1,5,3,Turnaround Jump Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,train
-160,-19,1,0,2,5,0,Jump Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,train
-144,74,0,0,2,2,16,Jump Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,test
0,-2,1,0,2,0,55,Putback Layup Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,train
-2,0,1,0,3,10,26,Dunk Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,train
-21,55,0,0,3,6,27,Jump Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,train
0,1,1,0,3,4,26,Dunk Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,test
-131,-2,1,0,4,6,51,Turnaround Jump Shot,2PT Field Goal,PHI,NYK,Philadelphia 76ers,20121105,Regular Season,train
-120,17,0,0,1,11,9,Jump Shot,2PT Field Goal,NOH,PHI,Philadelphia 76ers,20121107,Regular Season,train
0,31,1,0,1,10,37,Putback Layup Shot,2PT Field Goal,NOH,PHI,Philadelphia 76ers,20121107,Regular Season,train
17,23,1,0,1,8,43,Hook Shot,2PT Field Goal,NOH,PHI,Philadelphia 76ers,20121107,Regular Season,test
-13,14,0,0,1,2,41,Layup Shot,2PT Field Goal,NOH,PHI,Philadelphia 76ers,20121107,Regular Season,test
0,22,1,0,2,6,25,Layup Shot,2PT Field Goal,NOH,PHI,Philadelphia 76ers,20121107,Regular Season,test
-26,19,1,0,3,8,11,Jump Shot,2PT Field Goal,NOH,PHI,Philadelphia 76ers,20121107,Regular Season,train
-163,77,1,0,4,7,54,Fadeaway Jump Shot,2PT Field Goal,NOH,PHI,Philadelphia 76ers,20121107,Regular Season,test
-8,7,1,0,4,5,38,Tip Shot,2PT Field Goal,NOH,PHI,Philadelphia 76ers,20121107,Regular Season,test
67,135,0,0,1,7,47,Jump Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,train
9,53,0,0,1,5,36,Fadeaway Jump Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,test
-8,-11,1,0,1,4,36,Layup Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,train
7,184,1,0,1,3,33,Jump Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,train
-5,3,1,0,2,9,47,Layup Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,train
15,15,0,0,2,9,13,Layup Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,train
18,36,1,0,2,7,48,Hook Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,train
2,67,0,0,2,7,17,Jump Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,train
100,72,0,0,3,5,10,Jump Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,train
0,1,1,0,4,8,21,Driving Layup Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,train
42,209,0,0,4,7,36,Jump Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,train
-4,11,1,0,4,6,19,Layup Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,train
54,41,1,0,4,1,38,Turnaround Hook Shot,2PT Field Goal,BOS,PHI,Philadelphia 76ers,20121109,Regular Season,test
165,39,0,0,1,10,17,Jump Shot,2PT Field Goal,TOR,PHI,Philadelphia 76ers,20121110,Regular Season,train
105,140,1,0,1,9,20,Jump Shot,2PT Field Goal,TOR,PHI,Philadelphia 76ers,20121110,Regular Season,train
88,135,0,0,1,4,25,Jump Shot,2PT Field Goal,TOR,PHI,Philadelphia 76ers,20121110,Regular Season,train
-117,58,0,0,1,3,27,Turnaround Jump Shot,2PT Field Goal,TOR,PHI,Philadelphia 76ers,20121110,Regular Season,train
2,3,1,0,2,5,9,Driving Dunk Shot,2PT Field Goal,TOR,PHI,Philadelphia 76ers,20121110,Regular Season,train
2,17,0,0,2,0,58,Tip Shot,2PT Field Goal,TOR,PHI,Philadelphia 76ers,20121110,Regular Season,train
-191,39,0,0,3,11,44,Jump Shot,2PT Field Goal,TOR,PHI,Philadelphia 76ers,20121110,Regular Season,train
9,4,1,0,3,9,36,Dunk Shot,2PT Field Goal,TOR,PHI,Philadelphia 76ers,20121110,Regular Season,train
17,9,1,0,3,6,43,Layup Shot,2PT Field Goal,TOR,PHI,Philadelphia 76ers,20121110,Regular Season,train
78,176,0,0,3,5,33,Jump Shot,2PT Field Goal,TOR,PHI,Philadelphia 76ers,20121110,Regular Season,train
-81,31,1,0,4,6,3,Hook Bank Shot,2PT Field Goal,TOR,PHI,Philadelphia 76ers,20121110,Regular Season,train
0,-5,1,0,1,4,50,Alley Oop Dunk Shot,2PT Field Goal,PHI,MIL,Philadelphia 76ers,20121112,Regular Season,train
-23,-6,1,0,2,3,29,Driving Finger Roll Layup Shot,2PT Field Goal,PHI,MIL,Philadelphia 76ers,20121112,Regular Season,test
-168,26,1,0,3,3,2,Jump Shot,2PT Field Goal,PHI,MIL,Philadelphia 76ers,20121112,Regular Season,train
1,12,1,0,3,2,32,Layup Shot,2PT Field Goal,PHI,MIL,Philadelphia 76ers,20121112,Regular Season,train
-187,-17,0,0,3,1,56,Jump Shot,2PT Field Goal,PHI,MIL,Philadelphia 76ers,20121112,Regular Season,train
-30,31,0,0,4,1,7,Jump Shot,2PT Field Goal,PHI,MIL,Philadelphia 76ers,20121112,Regular Season,train
-4,30,0,0,1,8,11,Hook Shot,2PT Field Goal,PHI,DET,Philadelphia 76ers,20121114,Regular Season,test
-70,-5,0,0,1,6,28,Jump Shot,2PT Field Goal,PHI,DET,Philadelphia 76ers,20121114,Regular Season,test
-2,26,0,0,1,5,32,Jump Shot,2PT Field Goal,PHI,DET,Philadelphia 76ers,20121114,Regular Season,test
-30,12,0,0,1,4,33,Jump Shot,2PT Field Goal,PHI,DET,Philadelphia 76ers,20121114,Regular Season,train
-45,121,0,0,1,3,36,Jump Shot,2PT Field Goal,PHI,DET,Philadelphia 76ers,20121114,Regular Season,test
1,1,1,0,3,11,18,Driving Slam Dunk Shot,2PT Field Goal,PHI,DET,Philadelphia 76ers,20121114,Regular Season,test
-16,30,0,0,3,10,33,Jump Shot,2PT Field Goal,PHI,DET,Philadelphia 76ers,20121114,Regular Season,train
-13,-10,1,0,3,6,55,Layup Shot,2PT Field Goal,PHI,DET,Philadelphia 76ers,20121114,Regular Season,train
-15,19,0,0,3,2,15,Tip Shot,2PT Field Goal,PHI,DET,Philadelphia 76ers,20121114,Regular Season,test
21,-10,0,0,3,1,46,Tip Shot,2PT Field Goal,PHI,DET,Philadelphia 76ers,20121114,Regular Season,train
-122,-21,0,0,4,7,31,Jump Shot,2PT Field Goal,PHI,DET,Philadelphia 76ers,20121114,Regular Season,test
-41,48,0,0,1,11,34,Jump Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
-19,63,1,0,1,11,1,Jump Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
-131,116,1,0,1,8,8,Jump Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
177,33,1,0,1,7,35,Jump Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
23,145,0,0,1,3,49,Jump Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
-43,-5,0,0,2,2,30,Jump Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
0,-5,1,0,2,1,43,Putback Layup Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
18,-13,0,0,4,9,44,Layup Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,test
-5,178,0,0,4,8,45,Jump Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
10,1,1,0,4,8,40,Layup Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
-160,-33,0,0,4,7,48,Jump Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
-11,-8,1,0,4,6,40,Layup Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,test
149,110,0,0,4,6,1,Jump Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
-4,48,1,0,4,1,51,Turnaround Jump Shot,2PT Field Goal,PHI,UTA,Philadelphia 76ers,20121116,Regular Season,train
-13,121,0,0,1,11,20,Hook Shot,2PT Field Goal,PHI,CLE,Philadelphia 76ers,20121118,Regular Season,test
-141,1,0,0,1,7,43,Jump Shot,2PT Field Goal,PHI,CLE,Philadelphia 76ers,20121118,Regular Season,train
-5,80,0,0,2,6,55,Jump Shot,2PT Field Goal,PHI,CLE,Philadelphia 76ers,20121118,Regular Season,train
6,78,0,0,2,6,15,Jump Shot,2PT Field Goal,PHI,CLE,Philadelphia 76ers,20121118,Regular Season,train
-157,-17,1,0,2,3,45,Jump Shot,2PT Field Goal,PHI,CLE,Philadelphia 76ers,20121118,Regular Season,train
105,143,1,0,3,9,42,Step Back Jump shot,2PT Field Goal,PHI,CLE,Philadelphia 76ers,20121118,Regular Season,test
6,19,0,0,3,7,20,Layup Shot,2PT Field Goal,PHI,CLE,Philadelphia 76ers,20121118,Regular Season,train
-54,33,0,0,4,1,21,Jump Shot,2PT Field Goal,PHI,CLE,Philadelphia 76ers,20121118,Regular Season,train
-16,4,1,0,4,0,28,Alley Oop Dunk Shot,2PT Field Goal,PHI,CLE,Philadelphia 76ers,20121118,Regular Season,train
-62,14,0,0,1,11,12,Hook Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,train
-144,-25,0,0,1,7,39,Jump Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,train
-4,25,0,0,1,3,24,Driving Hook Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,train
0,3,1,0,2,6,41,Dunk Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,train
2,-3,1,0,2,5,52,Driving Dunk Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,train
0,12,1,0,3,11,35,Layup Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,test
-34,11,0,0,3,4,0,Jump Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,train
2,23,0,0,3,0,34,Layup Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,test
7,15,1,0,4,7,42,Layup Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,train
-24,6,1,0,4,5,52,Driving Layup Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,train
-11,0,1,0,4,3,17,Layup Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,train
-10,9,1,0,4,1,6,Layup Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,train
-10,0,1,0,4,0,24,Dunk Shot,2PT Field Goal,PHI,TOR,Philadelphia 76ers,20121120,Regular Season,train
-177,0,0,0,1,6,55,Jump Shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,train
-35,11,1,0,2,8,30,Driving Jump shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,train
-41,31,0,0,2,7,38,Jump Shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,test
-48,11,0,0,2,3,54,Jump Shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,train
-2,0,1,0,2,2,36,Layup Shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,train
1,3,1,0,2,2,2,Slam Dunk Shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,test
0,-10,0,0,2,1,20,Layup Shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,test
-11,7,0,0,3,4,47,Hook Shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,train
0,39,1,0,3,1,37,Jump Hook Shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,train
-54,77,1,0,3,0,19,Floating Jump shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,train
132,45,0,0,4,1,21,Running Jump Shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,train
-2,3,0,0,4,0,17,Tip Shot,2PT Field Goal,CLE,PHI,Philadelphia 76ers,20121121,Regular Season,train
168,11,0,0,1,10,39,Jump Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,test
-32,121,1,0,1,8,4,Jump Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
1,26,1,0,1,6,38,Floating Jump shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-2,12,0,0,2,10,30,Tip Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-130,-13,1,0,2,10,9,Jump Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-13,0,1,0,2,8,55,Layup Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-7,25,1,0,2,7,29,Hook Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-16,-16,1,0,2,6,0,Layup Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,test
-2,86,0,0,2,2,6,Running Hook Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-8,160,0,0,2,1,26,Jump Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
166,45,1,0,3,11,44,Jump Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-81,34,0,0,3,10,19,Jump Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-38,36,0,0,3,9,47,Jump Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
2,67,1,0,3,7,18,Floating Jump shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-11,20,1,0,3,6,0,Layup Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-18,9,1,0,3,4,49,Layup Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
1,12,0,0,3,4,27,Layup Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-8,22,0,0,4,9,1,Tip Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,test
-21,6,1,0,4,6,37,Layup Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,test
0,6,1,0,4,5,2,Dunk Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-13,101,0,0,4,2,1,Jump Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-15,7,1,0,4,1,36,Reverse Layup Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
-29,17,0,0,5,4,32,Hook Shot,2PT Field Goal,PHI,OKC,Philadelphia 76ers,20121124,Regular Season,train
9,47,0,0,1,4,8,Hook Shot,2PT Field Goal,PHI,PHX,Philadelphia 76ers,20121125,Regular Season,train
-37,60,1,0,2,1,16,Jump Hook Shot,2PT Field Goal,PHI,PHX,Philadelphia 76ers,20121125,Regular Season,train
-18,19,0,0,3,11,48,Layup Shot,2PT Field Goal,PHI,PHX,Philadelphia 76ers,20121125,Regular Season,test
-5,1,1,0,3,10,52,Layup Shot,2PT Field Goal,PHI,PHX,Philadelphia 76ers,20121125,Regular Season,test
-7,88,1,0,3,9,47,Driving Jump shot,2PT Field Goal,PHI,PHX,Philadelphia 76ers,20121125,Regular Season,test
-75,91,1,0,3,4,13,Running Jump Shot,2PT Field Goal,PHI,PHX,Philadelphia 76ers,20121125,Regular Season,test
-87,108,1,0,4,8,55,Turnaround Hook Shot,2PT Field Goal,PHI,PHX,Philadelphia 76ers,20121125,Regular Season,train
0,52,1,0,1,11,34,Jump Hook Shot,2PT Field Goal,PHI,DAL,Philadelphia 76ers,20121127,Regular Season,test
-8,-6,1,0,1,7,53,Layup Shot,2PT Field Goal,PHI,DAL,Philadelphia 76ers,20121127,Regular Season,train
-89,-30,0,0,1,7,16,Jump Shot,2PT Field Goal,PHI,DAL,Philadelphia 76ers,20121127,Regular Season,train
-21,-13,0,0,1,6,45,Layup Shot,2PT Field Goal,PHI,DAL,Philadelphia 76ers,20121127,Regular Season,train
4,-1,1,0,1,6,32,Running Slam Dunk Shot,2PT Field Goal,PHI,DAL,Philadelphia 76ers,20121127,Regular Season,train
1,28,0,0,2,6,34,Turnaround Jump Shot,2PT Field Goal,PHI,DAL,Philadelphia 76ers,20121127,Regular Season,test
-2,-5,0,0,2,4,42,Layup Shot,2PT Field Goal,PHI,DAL,Philadelphia 76ers,20121127,Regular Season,train
