X Location,Y Location,Shot Made Flag,is_3pt,Period,Minutes Remaining,Seconds Remaining,Action Type,Shot Type,Home Team,Away Team,Team Name,Game Date,Season Type,Split
-8,3,0,0,1,11,29,Layup Shot,2PT Field Goal,BOS,MIL,Milwaukee Bucks,20121102,Regular Season,train
-130,50,0,0,1,9,31,Turnaround Jump Shot,2PT Field Goal,BOS,MIL,Milwaukee Bucks,20121102,Regular Season,test
-5,7,1,0,1,6,45,Layup Shot,2PT Field Goal,BOS,MIL,Milwaukee Bucks,20121102,Regular Season,train
1,9,1,0,2,1,32,Driving Layup Shot,2PT Field Goal,BOS,MIL,Milwaukee Bucks,20121102,Regular Season,train
-38,77,1,0,3,11,1,Jump Shot,2PT Field Goal,BOS,MIL,Milwaukee Bucks,20121102,Regular Season,train
18,4,1,0,3,8,30,Dunk Shot,2PT Field Goal,BOS,MIL,Milwaukee Bucks,20121102,Regular Season,train
97,249,1,1,3,7,14,Jump Shot,3PT Field Goal,BOS,MIL,Milwaukee Bucks,20121102,Regular Season,train
-8,14,1,0,3,3,11,Layup Shot,2PT Field Goal,BOS,MIL,Milwaukee Bucks,20121102,Regular Season,train
9,15,1,0,4,9,54,Alley Oop Layup shot,2PT Field Goal,BOS,MIL,Milwaukee Bucks,20121102,Regular Season,train
-232,86,1,1,4,4,27,Jump Shot,3PT Field Goal,BOS,MIL,Milwaukee Bucks,20121102,Regular Season,test
-199,15,0,0,4,2,37,Jump Shot,2PT Field Goal,BOS,MIL,Milwaukee Bucks,20121102,Regular Season,train
9,0,1,0,1,8,59,Dunk Shot,2PT Field Goal,MIL,CLE,Milwaukee Bucks,20121103,Regular Season,train
-3,6,1,0,3,9,46,Layup Shot,2PT Field Goal,MIL,CLE,Milwaukee Bucks,20121103,Regular Season,test
234,1,0,1,3,8,52,Jump Shot,3PT Field Goal,MIL,CLE,Milwaukee Bucks,20121103,Regular Season,train
6,4,0,0,2,5,41,Layup Shot,2PT Field Goal,MIL,MEM,Milwaukee Bucks,20121107,Regular Season,test
1,1,1,0,2,3,35,Alley Oop Dunk Shot,2PT Field Goal,MIL,MEM,Milwaukee Bucks,20121107,Regular Season,train
-1,14,1,0,2,0,52,Dunk Shot,2PT Field Goal,MIL,MEM,Milwaukee Bucks,20121107,Regular Season,train
-9,8,0,0,3,11,38,Layup Shot,2PT Field Goal,MIL,MEM,Milwaukee Bucks,20121107,Regular Season,train
0,47,1,0,4,7,15,Jump Hook Shot,2PT Field Goal,MIL,MEM,Milwaukee Bucks,20121107,Regular Season,train
1,11,0,0,4,6,39,Tip Shot,2PT Field Goal,MIL,MEM,Milwaukee Bucks,20121107,Regular Season,train
10,11,0,0,4,5,50,Layup Shot,2PT Field Goal,MIL,MEM,Milwaukee Bucks,20121107,Regular Season,train
36,28,0,0,1,9,58,Jump Shot,2PT Field Goal,WAS,MIL,Milwaukee Bucks,20121109,Regular Season,train
209,154,1,1,1,9,3,Jump Shot,3PT Field Goal,WAS,MIL,Milwaukee Bucks,20121109,Regular Season,train
1,1,1,0,1,7,27,Dunk Shot,2PT Field Goal,WAS,MIL,Milwaukee Bucks,20121109,Regular Season,train
10,9,0,0,3,9,19,Layup Shot,2PT Field Goal,WAS,MIL,Milwaukee Bucks,20121109,Regular Season,test
-51,20,1,0,1,11,44,Jump Shot,2PT Field Goal,MIL,BOS,Milwaukee Bucks,20121110,Regular Season,train
-224,108,0,1,1,9,45,Jump Shot,3PT Field Goal,MIL,BOS,Milwaukee Bucks,20121110,Regular Season,train
-57,31,0,0,3,8,59,Jump Shot,2PT Field Goal,MIL,BOS,Milwaukee Bucks,20121110,Regular Season,test
36,-6,1,0,1,11,10,Jump Shot,2PT Field Goal,PHI,MIL,Milwaukee Bucks,20121112,Regular Season,train
-185,-10,1,0,1,7,14,Jump Shot,2PT Field Goal,PHI,MIL,Milwaukee Bucks,20121112,Regular Season,train
-243,-19,0,1,1,4,58,Jump Shot,3PT Field Goal,PHI,MIL,Milwaukee Bucks,20121112,Regular Season,train
-136,-6,1,0,3,11,4,Jump Shot,2PT Field Goal,PHI,MIL,Milwaukee Bucks,20121112,Regular Season,test
84,121,1,0,3,10,24,Jump Shot,2PT Field Goal,PHI,MIL,Milwaukee Bucks,20121112,Regular Season,train
13,-2,1,0,1,11,31,Layup Shot,2PT Field Goal,MIL,IND,Milwaukee Bucks,20121114,Regular Season,train
6,-2,1,0,1,10,16,Dunk Shot,2PT Field Goal,MIL,IND,Milwaukee Bucks,20121114,Regular Season,test
-134,-17,0,0,2,1,18,Jump Shot,2PT Field Goal,MIL,IND,Milwaukee Bucks,20121114,Regular Season,train
4,3,1,0,2,0,0,Layup Shot,2PT Field Goal,MIL,IND,Milwaukee Bucks,20121114,Regular Season,test
-48,41,1,0,3,10,57,Jump Shot,2PT Field Goal,MIL,IND,Milwaukee Bucks,20121114,Regular Season,train
111,-1,0,0,1,11,57,Jump Shot,2PT Field Goal,MIL,NOH,Milwaukee Bucks,20121117,Regular Season,train
228,-11,0,1,1,10,34,Jump Shot,3PT Field Goal,MIL,NOH,Milwaukee Bucks,20121117,Regular Season,train
1,17,0,0,1,9,20,Layup Shot,2PT Field Goal,MIL,NOH,Milwaukee Bucks,20121117,Regular Season,test
124,-24,1,0,1,5,6,Jump Shot,2PT Field Goal,MIL,NOH,Milwaukee Bucks,20121117,Regular Season,test
67,14,0,0,3,9,43,Jump Shot,2PT Field Goal,MIL,NOH,Milwaukee Bucks,20121117,Regular Season,train
-228,72,0,1,3,7,33,Jump Shot,3PT Field Goal,MIL,NOH,Milwaukee Bucks,20121117,Regular Season,train
-221,0,1,1,3,6,39,Jump Shot,3PT Field Goal,MIL,NOH,Milwaukee Bucks,20121117,Regular Season,test
0,3,1,0,3,4,24,Layup Shot,2PT Field Goal,MIL,NOH,Milwaukee Bucks,20121117,Regular Season,train
244,-2,1,1,3,3,13,Jump Shot,3PT Field Goal,MIL,NOH,Milwaukee Bucks,20121117,Regular Season,train
233,0,0,1,1,9,8,Jump Shot,3PT Field Goal,CHA,MIL,Milwaukee Bucks,20121119,Regular Season,test
88,23,1,0,3,5,1,Jump Shot,2PT Field Goal,CHA,MIL,Milwaukee Bucks,20121119,Regular Season,train
7,0,1,0,1,10,33,Layup Shot,2PT Field Goal,MIA,MIL,Milwaukee Bucks,20121121,Regular Season,train
