model,log_loss,brier,accuracy,roc_auc,ece,ll_skill_%,bs_skill_%,acc_skill_%,reliability,resolution,uncertainty,player,train_log_loss,spatial_frac,ls_opp_win_pct,ls_time_remaining,ls_is_3pt,ls_home_away,ls_act_dunk,ls_act_layup,ls_act_hook_float
gp_context,0.6528,0.2308,0.6255,0.6262,0.018097,4.79,6.28,11.5,0.000923,0.01555,0.246276,James Harden,0.6335,0.5883998534240883,1.5566825866699219,1.6481276750564575,1.3154497146606445,1.503469705581665,0.2991928160190582,1.3512353897094727,1.2312771081924438
gp_context,0.6479,0.228,0.6379,0.6378,0.018453,5.29,7.13,12.46,0.000698,0.017905,0.245479,Russell Westbrook,0.6302,0.5835443984600995,1.607566237449646,1.5336642265319824,1.1807050704956055,1.421339511871338,0.8941030502319336,1.2036930322647095,2.0112476348876953
gp_context,0.6778,0.2427,0.5649,0.5844,0.027862,2.0,2.64,7.11,0.001251,0.006852,0.249249,Stephen Curry,0.66,0.5768396651792861,1.5650283098220825,1.5140690803527832,1.2225875854492188,1.4043200016021729,0.5602306127548218,1.2328635454177856,1.705416202545166
gp_context,0.672,0.2398,0.5886,0.5883,0.027075,2.53,3.38,8.43,0.000998,0.008873,0.248162,Klay Thompson,0.6609,0.5697258063955049,1.5530778169631958,1.564656376838684,1.0513657331466675,1.4521905183792114,0.6486856937408447,1.1978660821914673,1.804133653640747
gp_context,0.6652,0.2365,0.6007,0.5927,0.041161,2.7,3.59,5.62,0.001827,0.009878,0.245273,Damian Lillard,0.649,0.5840999475805709,1.5727616548538208,1.580260157585144,1.2288509607315063,1.4666900634765625,0.960477888584137,1.226520299911499,1.6321574449539185
gp_context,0.6028,0.21,0.6707,0.7131,0.012043,12.81,15.7,26.49,0.00104,0.040227,0.249087,LeBron James,0.5931,0.583349163687207,1.6302993297576904,1.5860576629638672,1.3786100149154663,1.57802414894104,0.46565136313438416,1.2170283794403076,1.6505616903305054
gp_context,0.6597,0.2338,0.614,0.6109,0.027433,4.04,5.38,10.95,0.000936,0.014521,0.247143,DeMar DeRozan,0.6398,0.5690124219993908,1.5874347686767578,1.567358374595642,1.474951148033142,1.5295848846435547,0.49395737051963806,1.3367834091186523,1.5531514883041382
gp_context,0.6618,0.2351,0.5995,0.6215,0.044748,4.46,5.86,16.42,0.002806,0.016615,0.249776,LaMarcus Aldridge,0.6392,0.5656437359374518,1.5747859477996826,1.5157415866851807,1.710261344909668,1.4915084838867188,0.5215588212013245,1.1546173095703125,1.4553594589233398
gp_context,0.6605,0.234,0.627,0.6043,0.041782,2.98,4.02,8.38,0.002716,0.013007,0.243841,Kemba Walker,0.6479,0.5841714362419743,1.514116883277893,1.5508649349212646,1.1766982078552246,1.3600890636444092,0.8112847208976746,1.2018117904663086,1.910309076309204
gp_context,0.6653,0.2369,0.6015,0.5684,0.043444,2.7,3.42,5.79,0.00288,0.011289,0.245291,Paul George,0.6384,0.5785997447007137,1.5445047616958618,1.5798121690750122,1.2569549083709717,1.4782438278198242,0.41755375266075134,1.2830532789230347,1.8797338008880615
gp_context,0.6715,0.2394,0.58,0.6037,0.017338,2.75,3.71,8.07,0.000805,0.009245,0.248655,Kyrie Irving,0.6568,0.5836913918956023,1.5854986906051636,1.4889169931411743,1.253038763999939,1.4488848447799683,0.8913081288337708,1.2400826215744019,1.5238792896270752
gp_context,0.6392,0.2273,0.5919,0.6399,0.022935,7.77,9.07,16.7,0.000844,0.022614,0.249949,Kevin Durant,0.6253,0.5734056157637772,1.5708853006362915,1.5415006875991821,1.2218706607818604,1.5736244916915894,0.5079187750816345,1.4148980379104614,1.7826714515686035
gp_context,0.6574,0.2331,0.6173,0.6145,0.032742,4.49,5.83,12.38,0.001171,0.015168,0.247571,Bradley Beal,0.6443,0.5727436937577891,1.5615003108978271,1.5681220293045044,1.1950403451919556,1.5286171436309814,0.4029266834259033,1.2486315965652466,1.459420919418335
gp_context,0.6268,0.2198,0.6348,0.6823,0.017906,9.49,11.99,22.66,0.000613,0.030433,0.249692,Anthony Davis,0.594,0.5609372813737576,1.5646268129348755,1.574062705039978,1.5322861671447754,1.4700638055801392,0.5733761191368103,1.209913730621338,1.6037328243255615
gp_context,0.6723,0.24,0.5763,0.5757,0.024945,1.82,2.36,2.05,0.001114,0.006344,0.245807,Carmelo Anthony,0.6557,0.5662890711211981,1.6015580892562866,1.510620355606079,1.1808847188949585,1.5115623474121094,0.5403647422790527,1.240214228630066,1.9921648502349854
gp_context,0.6259,0.2196,0.6405,0.6885,0.017379,9.69,12.16,26.62,0.000786,0.030505,0.249966,Blake Griffin,0.6082,0.5790568304492263,1.6074914932250977,1.5801842212677002,1.4660741090774536,1.5574944019317627,0.46220576763153076,1.1682519912719727,1.4290069341659546
gp_context,0.6366,0.2235,0.6456,0.6591,0.012906,7.04,9.08,14.4,0.000493,0.023328,0.245858,John Wall,0.6262,0.5667803278962004,1.6654484272003174,1.587550401687622,1.3696337938308716,1.3933135271072388,0.2933337986469269,1.2461190223693848,0.9129239320755005
