player,train_log_loss,model,log_loss,brier,accuracy,roc_auc,ece,ll_skill_%,bs_skill_%,acc_skill_%,reliability,resolution,uncertainty
James Harden,0.6335,gp_context,0.6528,0.2308,0.6255,0.6262,0.018097,4.79,6.28,11.5,0.000923,0.01555,0.246276
Russell Westbrook,0.6302,gp_context,0.6479,0.228,0.6379,0.6378,0.018453,5.29,7.13,12.46,0.000698,0.017905,0.245479
Stephen Curry,0.66,gp_context,0.6778,0.2427,0.5649,0.5844,0.027862,2.0,2.64,7.11,0.001251,0.006852,0.249249
Klay Thompson,0.6609,gp_context,0.672,0.2398,0.5886,0.5883,0.027075,2.53,3.38,8.43,0.000998,0.008873,0.248162
Damian Lillard,0.649,gp_context,0.6652,0.2365,0.6007,0.5927,0.041161,2.7,3.59,5.62,0.001827,0.009878,0.245273
LeBron James,0.5931,gp_context,0.6028,0.21,0.6707,0.7131,0.012043,12.81,15.7,26.49,0.00104,0.040227,0.249087
DeMar DeRozan,0.6398,gp_context,0.6597,0.2338,0.614,0.6109,0.027433,4.04,5.38,10.95,0.000936,0.014521,0.247143
LaMarcus Aldridge,0.6392,gp_context,0.6618,0.2351,0.5995,0.6215,0.044748,4.46,5.86,16.42,0.002806,0.016615,0.249776
Kemba Walker,0.6479,gp_context,0.6605,0.234,0.627,0.6043,0.041782,2.98,4.02,8.38,0.002716,0.013007,0.243841
Paul George,0.6384,gp_context,0.6653,0.2369,0.6015,0.5684,0.043444,2.7,3.42,5.79,0.00288,0.011289,0.245291
Kyrie Irving,0.6568,gp_context,0.6715,0.2394,0.58,0.6037,0.017338,2.75,3.71,8.07,0.000805,0.009245,0.248655
Kevin Durant,0.6253,gp_context,0.6392,0.2273,0.5919,0.6399,0.022935,7.77,9.07,16.7,0.000844,0.022614,0.249949
Bradley Beal,0.6443,gp_context,0.6574,0.2331,0.6173,0.6145,0.032742,4.49,5.83,12.38,0.001171,0.015168,0.247571
Anthony Davis,0.594,gp_context,0.6268,0.2198,0.6348,0.6823,0.017906,9.49,11.99,22.66,0.000613,0.030433,0.249692
Carmelo Anthony,0.6557,gp_context,0.6723,0.24,0.5763,0.5757,0.024945,1.82,2.36,2.05,0.001114,0.006344,0.245807
Blake Griffin,0.6082,gp_context,0.6259,0.2196,0.6405,0.6885,0.017379,9.69,12.16,26.62,0.000786,0.030505,0.249966
John Wall,0.6262,gp_context,0.6366,0.2235,0.6456,0.6591,0.012906,7.04,9.08,14.4,0.000493,0.023328,0.245858
Dwyane Wade,0.6347,gp_context,0.6354,0.2236,0.6373,0.6676,0.019923,8.09,10.24,20.23,0.000918,0.025184,0.249097
Kyle Lowry,0.6472,gp_context,0.6645,0.2357,0.6164,0.5982,0.018999,2.55,3.53,7.21,0.001054,0.009856,0.244387
Chris Paul,0.6624,gp_context,0.6808,0.2439,0.557,0.5776,0.036268,1.48,2.04,4.67,0.001978,0.006513,0.248967
DeMarcus Cousins,0.6068,gp_context,0.6471,0.2271,0.6353,0.6652,0.030033,6.33,8.75,18.96,0.002241,0.023536,0.248842
Marc Gasol,0.65,gp_context,0.6615,0.2357,0.596,0.592,0.029822,4.11,5.09,10.3,0.001036,0.014159,0.248372
Nikola Vucevic,0.6458,gp_context,0.6665,0.2376,0.5921,0.6222,0.038604,3.85,4.97,17.77,0.002371,0.013738,0.249992
Kawhi Leonard,0.6366,gp_context,0.6519,0.2319,0.5969,0.628,0.034519,5.96,7.25,18.85,0.002683,0.020094,0.249995
Jimmy Butler,0.617,gp_context,0.6393,0.2251,0.6305,0.6522,0.030081,7.15,9.12,15.11,0.001099,0.023113,0.247725
CJ McCollum,0.663,gp_context,0.6883,0.2476,0.5561,0.5395,0.038484,0.06,0.06,1.68,0.002349,0.003184,0.247799
Serge Ibaka,0.6245,gp_context,0.6451,0.2282,0.6073,0.652,0.015755,6.93,8.69,20.07,0.001237,0.022566,0.249966
Tobias Harris,0.6331,gp_context,0.6629,0.2366,0.5904,0.6058,0.046214,4.1,5.0,11.28,0.002707,0.014645,0.249069
Goran Dragic,0.6438,gp_context,0.6601,0.2337,0.6181,0.6359,0.024498,4.54,6.2,16.82,0.00148,0.016213,0.249149
Thaddeus Young,0.6229,gp_context,0.6459,0.2272,0.6391,0.6674,0.032764,6.81,9.11,27.14,0.001876,0.024351,0.249993
