player,train_log_loss,model,log_loss,brier,accuracy,roc_auc,ece,ll_skill_%,bs_skill_%,acc_skill_%,reliability,resolution,uncertainty
James Harden,0.6454,gp_location,0.6596,0.2333,0.6259,0.6121,0.011099,3.81,5.27,11.56,0.00073,0.013511,0.246276
Russell Westbrook,0.6378,gp_location,0.6484,0.2281,0.6393,0.6433,0.016226,5.22,7.08,12.71,0.000363,0.017456,0.245479
Stephen Curry,0.669,gp_location,0.6745,0.2411,0.5663,0.5863,0.019555,2.47,3.25,7.37,0.001121,0.00799,0.249249
Klay Thompson,0.6703,gp_location,0.6708,0.2391,0.5901,0.591,0.007494,2.71,3.67,8.69,0.000324,0.008638,0.248162
Damian Lillard,0.6555,gp_location,0.6671,0.2371,0.6099,0.5848,0.033715,2.43,3.33,7.23,0.001258,0.009719,0.245273
LeBron James,0.6085,gp_location,0.6114,0.2115,0.675,0.7098,0.01644,11.55,15.11,27.3,0.000649,0.037844,0.249087
DeMar DeRozan,0.6512,gp_location,0.6611,0.2343,0.6106,0.6157,0.011984,3.83,5.16,10.31,0.000229,0.012931,0.247143
LaMarcus Aldridge,0.6538,gp_location,0.6662,0.2368,0.6011,0.6067,0.024136,3.82,5.19,16.72,0.00097,0.014365,0.249776
Kemba Walker,0.6545,gp_location,0.6579,0.2328,0.6231,0.6045,0.027945,3.36,4.51,7.72,0.001651,0.012336,0.243841
Paul George,0.6527,gp_location,0.6679,0.2376,0.6037,0.574,0.038332,2.3,3.16,6.17,0.002138,0.009913,0.245291
Kyrie Irving,0.6681,gp_location,0.6718,0.2395,0.5834,0.598,0.018777,2.71,3.69,8.71,0.000467,0.008378,0.248655
Kevin Durant,0.6424,gp_location,0.6456,0.2281,0.599,0.6453,0.01817,6.84,8.72,18.1,0.00052,0.02188,0.249949
Bradley Beal,0.6594,gp_location,0.6632,0.2353,0.6168,0.598,0.039968,3.65,4.99,12.3,0.001775,0.014075,0.247571
Anthony Davis,0.6199,gp_location,0.6453,0.2274,0.6295,0.6575,0.048194,6.81,8.91,21.64,0.003017,0.02511,0.249692
Carmelo Anthony,0.6698,gp_location,0.6728,0.2401,0.5883,0.5778,0.004799,1.74,2.33,4.17,0.000202,0.005709,0.245807
Blake Griffin,0.6284,gp_location,0.6379,0.2234,0.6468,0.6819,0.008807,7.96,10.63,27.86,0.000643,0.026383,0.249966
John Wall,0.6466,gp_location,0.6449,0.2264,0.6477,0.647,0.021664,5.83,7.91,14.75,0.000617,0.019956,0.245858
Dwyane Wade,0.6527,gp_location,0.645,0.2266,0.6399,0.6643,0.01752,6.7,9.02,20.71,0.00106,0.023801,0.249097
Kyle Lowry,0.6545,gp_location,0.664,0.2355,0.6196,0.5871,0.015983,2.63,3.62,7.77,0.001043,0.009781,0.244387
Chris Paul,0.6724,gp_location,0.6778,0.2424,0.5624,0.5887,0.012975,1.93,2.63,5.69,0.000387,0.006,0.248967
DeMarcus Cousins,0.6416,gp_location,0.6559,0.2317,0.6217,0.643,0.025499,5.05,6.89,16.42,0.001031,0.016831,0.248842
Marc Gasol,0.6666,gp_location,0.6688,0.2381,0.5915,0.5897,0.03239,3.06,4.16,9.48,0.001456,0.009943,0.248372
Nikola Vucevic,0.6639,gp_location,0.6768,0.2419,0.5753,0.6037,0.020247,2.35,3.23,14.42,0.000853,0.007163,0.249992
Kawhi Leonard,0.6506,gp_location,0.66,0.2343,0.5884,0.6213,0.048042,4.77,6.27,17.15,0.003294,0.018448,0.249995
Jimmy Butler,0.6394,gp_location,0.6487,0.2284,0.6316,0.6467,0.029292,5.8,7.77,15.32,0.001187,0.019864,0.247725
CJ McCollum,0.6744,gp_location,0.688,0.2474,0.5636,0.5375,0.032787,0.1,0.17,3.06,0.001548,0.002678,0.247799
Serge Ibaka,0.641,gp_location,0.6533,0.231,0.6009,0.6465,0.014332,5.75,7.62,18.81,0.000561,0.019189,0.249966
Tobias Harris,0.6492,gp_location,0.6674,0.2374,0.5998,0.6114,0.033888,3.46,4.71,13.06,0.001404,0.013735,0.249069
Goran Dragic,0.6545,gp_location,0.654,0.2309,0.6252,0.6398,0.037385,5.4,7.32,18.14,0.002781,0.020568,0.249149
Thaddeus Young,0.6468,gp_location,0.6612,0.2342,0.6143,0.644,0.01914,4.6,6.31,22.2,0.000541,0.016495,0.249993
