player,simple_model,rich_model,ΔBIC,BF,favours
Anthony Davis,intercept_only,gp_location,879.83,1.1289039859852036e+191,gp_location
Blake Griffin,intercept_only,gp_location,769.51,1.2501824116580798e+167,gp_location
Bradley Beal,intercept_only,gp_location,348.27,4.2254173012010536e+75,gp_location
CJ McCollum,intercept_only,gp_location,124.32,9.902503284077397e+26,gp_location
Carmelo Anthony,intercept_only,gp_location,159.38,4.063752623423654e+34,gp_location
Chris Paul,intercept_only,gp_location,181.82,3.031875403890433e+39,gp_location
Damian Lillard,intercept_only,gp_location,431.45,4.877273484595105e+93,gp_location
DeMar DeRozan,intercept_only,gp_location,535.81,2.236985527064967e+116,gp_location
DeMarcus Cousins,intercept_only,gp_location,517.25,2.0864615328423313e+112,gp_location
Dwyane Wade,intercept_only,gp_location,421.0,2.624148697004067e+91,gp_location
Goran Dragic,intercept_only,gp_location,350.11,1.0602799027370321e+76,gp_location
James Harden,intercept_only,gp_location,699.7,8.668111594495819e+151,gp_location
Jimmy Butler,intercept_only,gp_location,487.96,9.102646865996907e+105,gp_location
John Wall,intercept_only,gp_location,428.93,1.3834582622456652e+93,gp_location
Kawhi Leonard,intercept_only,gp_location,424.02,1.1878814715590523e+92,gp_location
Kemba Walker,intercept_only,gp_location,344.35,5.951856087796223e+74,gp_location
Kevin Durant,intercept_only,gp_location,780.71,3.380823382120272e+169,gp_location
Klay Thompson,intercept_only,gp_location,292.6,3.445741570957712e+63,gp_location
Kyle Lowry,intercept_only,gp_location,283.38,3.429139404996698e+61,gp_location
Kyrie Irving,intercept_only,gp_location,286.68,1.78554597063907e+62,gp_location
LaMarcus Aldridge,intercept_only,gp_location,550.23,3.0264004217971823e+119,gp_location
LeBron James,intercept_only,gp_location,1468.71,inf,gp_location
Marc Gasol,intercept_only,gp_location,225.35,8.59272174559173e+48,gp_location
Nikola Vucevic,intercept_only,gp_location,286.11,1.342756021664535e+62,gp_location
Paul George,intercept_only,gp_location,408.37,4.746995143608814e+88,gp_location
Russell Westbrook,intercept_only,gp_location,778.13,9.30641899884426e+168,gp_location
Serge Ibaka,intercept_only,gp_location,513.06,2.567813292214713e+111,gp_location
Stephen Curry,intercept_only,gp_location,363.6,9.010249353789995e+78,gp_location
Thaddeus Young,intercept_only,gp_location,444.63,3.549586339352018e+96,gp_location
Tobias Harris,intercept_only,gp_location,404.81,8.005244661110506e+87,gp_location
Anthony Davis,gp_location,gp_context,253.33,1.0230822508270313e+55,gp_context
Blake Griffin,gp_location,gp_context,178.63,6.151933768065872e+38,gp_context
Bradley Beal,gp_location,gp_context,125.51,1.7953544886598307e+27,gp_context
CJ McCollum,gp_location,gp_context,50.28,82825349097.14,gp_context
Carmelo Anthony,gp_location,gp_context,105.74,9.144274576847739e+22,gp_context
Chris Paul,gp_location,gp_context,42.08,1372637625.62,gp_context
Damian Lillard,gp_location,gp_context,34.0,24154952.75,gp_context
DeMar DeRozan,gp_location,gp_context,105.54,8.274081797931291e+22,gp_context
DeMarcus Cousins,gp_location,gp_context,314.44,1.904488895784505e+68,gp_context
Dwyane Wade,gp_location,gp_context,139.13,1.6281545738877978e+30,gp_context
Goran Dragic,gp_location,gp_context,40.67,678232020.17,gp_context
James Harden,gp_location,gp_context,141.81,6.217993151142418e+30,gp_context
Jimmy Butler,gp_location,gp_context,165.38,8.162265336443943e+35,gp_context
John Wall,gp_location,gp_context,172.84,3.401959398211602e+37,gp_context
Kawhi Leonard,gp_location,gp_context,79.55,1.8795895322629578e+17,gp_context
Kemba Walker,gp_location,gp_context,22.2,66171.16,gp_context
Kevin Durant,gp_location,gp_context,200.54,3.521337895187338e+43,gp_context
Klay Thompson,gp_location,gp_context,84.29,2.0106706559741763e+18,gp_context
Kyle Lowry,gp_location,gp_context,13.3,772.78,gp_context
Kyrie Irving,gp_location,gp_context,87.2,8.614685180292092e+18,gp_context
LaMarcus Aldridge,gp_location,gp_context,145.26,3.48986173232558e+31,gp_context
LeBron James,gp_location,gp_context,205.37,3.940296239845704e+44,gp_context
Marc Gasol,gp_location,gp_context,110.17,8.377444042735971e+23,gp_context
Nikola Vucevic,gp_location,gp_context,124.64,1.1620695253889951e+27,gp_context
Paul George,gp_location,gp_context,129.78,1.5183396406888337e+28,gp_context
Russell Westbrook,gp_location,gp_context,59.63,8881574803986.36,gp_context
Serge Ibaka,gp_location,gp_context,102.2,1.557571619315418e+22,gp_context
Stephen Curry,gp_location,gp_context,83.11,1.1145696052213531e+18,gp_context
Thaddeus Young,gp_location,gp_context,174.47,7.6856239107580065e+37,gp_context
Tobias Harris,gp_location,gp_context,96.29,8.111624368505392e+20,gp_context
