player,model,k,n_train,train_log_loss,BIC,AIC,ΔBIC,ΔAIC
Anthony Davis,intercept_only,1,6240,0.6925,8651.14,8644.4,1133.15,1207.28
Anthony Davis,binned_EB,2,6240,0.6166,7712.65,7699.17,194.66,262.05
Anthony Davis,logistic_RBF,101,6240,0.6194,8612.72,7932.11,1094.74,494.99
Anthony Davis,gp_location,4,6240,0.6199,7771.31,7744.35,253.32,307.23
Anthony Davis,gp_context,12,6240,0.594,7517.98,7437.12,0.0,0.0
Blake Griffin,intercept_only,1,6149,0.6931,8532.47,8525.74,948.14,1022.1
Blake Griffin,binned_EB,2,6149,0.6185,7623.76,7610.31,39.43,106.67
Blake Griffin,logistic_RBF,101,6149,0.6271,8593.2,7914.08,1008.87,410.43
Blake Griffin,gp_location,4,6149,0.6284,7762.96,7736.06,178.63,232.42
Blake Griffin,gp_context,12,6149,0.6082,7584.33,7503.64,0.0,0.0
Bradley Beal,intercept_only,1,6481,0.6883,8930.52,8923.74,473.79,548.33
Bradley Beal,binned_EB,2,6481,0.6514,8461.0,8447.45,4.26,72.03
Bradley Beal,logistic_RBF,101,6481,0.6547,9372.66,8688.22,915.92,312.8
Bradley Beal,gp_location,4,6481,0.6594,8582.25,8555.14,125.51,179.73
Bradley Beal,gp_context,12,6481,0.6443,8456.74,8375.42,0.0,0.0
CJ McCollum,intercept_only,1,5208,0.6888,7183.1,7176.54,182.05,246.73
CJ McCollum,binned_EB,2,5208,0.6705,7001.04,6987.93,0.0,58.12
CJ McCollum,logistic_RBF,101,5208,0.6689,7831.62,7169.26,830.57,239.45
CJ McCollum,gp_location,4,5208,0.6744,7058.78,7032.55,57.74,102.74
CJ McCollum,gp_context,12,5208,0.663,7008.5,6929.81,7.46,0.0
Carmelo Anthony,intercept_only,1,6228,0.6847,8537.36,8530.62,265.12,339.22
Carmelo Anthony,binned_EB,2,6228,0.663,8275.8,8262.33,3.56,70.93
Carmelo Anthony,logistic_RBF,101,6228,0.6614,9120.82,8440.4,848.58,249.0
Carmelo Anthony,gp_location,4,6228,0.6698,8377.98,8351.03,105.74,159.63
Carmelo Anthony,gp_context,12,6228,0.6557,8272.24,8191.4,0.0,0.0
Chris Paul,intercept_only,1,5553,0.6911,7683.98,7677.36,240.15,296.74
Chris Paul,binned_EB,2,5553,0.6687,7443.83,7430.58,0.0,49.97
Chris Paul,logistic_RBF,101,5553,0.667,8278.53,7609.7,834.71,229.09
Chris Paul,gp_location,4,5553,0.6724,7502.16,7475.67,58.34,95.06
Chris Paul,gp_context,12,5553,0.6624,7460.08,7380.61,16.25,0.0
Damian Lillard,intercept_only,1,8158,0.6836,11162.62,11155.62,477.21,542.53
Damian Lillard,binned_EB,2,8158,0.6538,10685.41,10671.4,0.0,58.32
Damian Lillard,logistic_RBF,101,8158,0.6535,11572.19,10864.51,886.77,251.42
Damian Lillard,gp_location,4,8158,0.6555,10731.17,10703.14,45.75,90.05
Damian Lillard,gp_context,12,8158,0.649,10697.17,10613.08,11.75,0.0
DeMar DeRozan,intercept_only,1,7772,0.6874,10693.9,10686.95,641.35,717.89
DeMar DeRozan,binned_EB,2,7772,0.6483,10095.09,10081.18,42.54,112.12
DeMar DeRozan,logistic_RBF,101,7772,0.6484,10983.52,10280.73,930.97,311.68
DeMar DeRozan,gp_location,4,7772,0.6512,10158.09,10130.25,105.54,161.2
