player,train_log_loss,model,log_loss,brier,accuracy,roc_auc,ece,ll_skill_%,bs_skill_%,acc_skill_%,reliability,resolution,uncertainty
James Harden,0.6857,intercept_only,0.6857,0.2463,0.561,0.5,0.00016,-,-,-,0.0,0.0,0.246276
James Harden,0.6449,binned_EB,0.6594,0.2334,0.6212,0.6106,0.008784,3.83,5.24,10.73,8.6e-05,0.011785,0.246276
James Harden,0.6444,logistic_RBF,0.6612,0.2341,0.6289,0.6103,0.030554,3.57,4.96,12.1,0.001454,0.013665,0.246276
James Harden,0.6454,gp_location,0.6596,0.2333,0.6259,0.6121,0.011099,3.81,5.27,11.56,0.00073,0.013511,0.246276
Russell Westbrook,0.6841,intercept_only,0.6841,0.2455,0.5672,0.5,8.1e-05,-,-,-,0.0,0.0,0.245479
Russell Westbrook,0.6376,binned_EB,0.6539,0.2306,0.6386,0.6246,0.015735,4.42,6.05,12.59,0.000543,0.014875,0.245479
Russell Westbrook,0.6374,logistic_RBF,0.6494,0.2287,0.6383,0.6396,0.02198,5.07,6.85,12.53,0.000654,0.017443,0.245479
Russell Westbrook,0.6378,gp_location,0.6484,0.2281,0.6393,0.6433,0.016226,5.22,7.08,12.71,0.000363,0.017456,0.245479
Stephen Curry,0.6916,intercept_only,0.6916,0.2492,0.5274,0.5,0.0,-,-,-,0.0,0.0,0.249249
Stephen Curry,0.6627,binned_EB,0.6836,0.2453,0.5642,0.5496,0.023367,1.15,1.57,6.98,0.001195,0.0052,0.249249
Stephen Curry,0.6645,logistic_RBF,0.6799,0.2436,0.568,0.5746,0.03924,1.7,2.23,7.7,0.002327,0.007371,0.249249
Stephen Curry,0.669,gp_location,0.6745,0.2411,0.5663,0.5863,0.019555,2.47,3.25,7.37,0.001121,0.00799,0.249249
Klay Thompson,0.6895,intercept_only,0.6895,0.2482,0.5429,0.5,0.000165,-,-,-,0.0,0.0,0.248162
Klay Thompson,0.6631,binned_EB,0.6752,0.2411,0.5893,0.5743,0.02303,2.08,2.85,8.55,0.000613,0.007226,0.248162
Klay Thompson,0.6654,logistic_RBF,0.6704,0.2389,0.5872,0.593,0.010414,2.78,3.74,8.16,0.000412,0.009177,0.248162
Klay Thompson,0.6703,gp_location,0.6708,0.2391,0.5901,0.591,0.007494,2.71,3.67,8.69,0.000324,0.008638,0.248162
Damian Lillard,0.6836,intercept_only,0.6837,0.2453,0.5688,0.5,0.000139,-,-,-,0.0,0.0,0.245273
Damian Lillard,0.6538,binned_EB,0.6701,0.2385,0.6114,0.5724,0.018495,1.99,2.77,7.49,0.000478,0.007792,0.245273
Damian Lillard,0.6535,logistic_RBF,0.6688,0.238,0.6044,0.5871,0.029992,2.18,2.99,6.26,0.001087,0.008403,0.245273
Damian Lillard,0.6555,gp_location,0.6671,0.2371,0.6099,0.5848,0.033715,2.43,3.33,7.23,0.001258,0.009719,0.245273
LeBron James,0.6913,intercept_only,0.6913,0.2491,0.5302,0.5,0.000104,-,-,-,0.0,0.0,0.249087
LeBron James,0.6033,binned_EB,0.6187,0.2147,0.6726,0.6994,0.024367,10.5,13.82,26.87,0.001558,0.035894,0.249087
LeBron James,0.6079,logistic_RBF,0.6141,0.2127,0.6766,0.7014,0.025725,11.16,14.6,27.62,0.001323,0.038159,0.249087
LeBron James,0.6085,gp_location,0.6114,0.2115,0.675,0.7098,0.01644,11.55,15.11,27.3,0.000649,0.037844,0.249087
DeMar DeRozan,0.6874,intercept_only,0.6874,0.2471,0.5535,0.5,7.1e-05,-,-,-,0.0,0.0,0.247143
DeMar DeRozan,0.6483,binned_EB,0.6626,0.235,0.6125,0.6086,0.01097,3.6,4.9,10.66,0.000473,0.012913,0.247143
DeMar DeRozan,0.6484,logistic_RBF,0.6615,0.2346,0.6013,0.6156,0.020208,3.77,5.07,8.64,0.000818,0.012929,0.247143
DeMar DeRozan,0.6512,gp_location,0.6611,0.2343,0.6106,0.6157,0.011984,3.83,5.16,10.31,0.000229,0.012931,0.247143
LaMarcus Aldridge,0.6927,intercept_only,0.6927,0.2498,0.515,0.5,0.0,-,-,-,0.0,0.0,0.249776
LaMarcus Aldridge,0.6518,binned_EB,0.6638,0.2358,0.6028,0.6069,0.031044,4.18,5.61,17.04,0.001027,0.015138,0.249776
LaMarcus Aldridge,0.652,logistic_RBF,0.6699,0.2377,0.5951,0.6097,0.029951,3.29,4.86,15.55,0.002766,0.014918,0.249776
LaMarcus Aldridge,0.6538,gp_location,0.6662,0.2368,0.6011,0.6067,0.024136,3.82,5.19,16.72,0.00097,0.014365,0.249776
Kemba Walker,0.6808,intercept_only,0.6808,0.2438,0.5785,0.5,0.000202,-,-,-,0.0,0.0,0.243841
Kemba Walker,0.6559,binned_EB,0.6632,0.2352,0.6257,0.5831,0.026617,2.58,3.54,8.16,0.001366,0.009887,0.243841
Kemba Walker,0.6515,logistic_RBF,0.6602,0.234,0.621,0.5955,0.040901,3.02,4.01,7.35,0.001828,0.01165,0.243841
Kemba Walker,0.6545,gp_location,0.6579,0.2328,0.6231,0.6045,0.027945,3.36,4.51,7.72,0.001651,0.012336,0.243841
Paul George,0.6837,intercept_only,0.6837,0.2453,0.5686,0.5,0.000162,-,-,-,0.0,0.0,0.245291
Paul George,0.6491,binned_EB,0.6686,0.2378,0.6118,0.5722,0.025706,2.21,3.06,7.6,0.000719,0.008456,0.245291
Paul George,0.6488,logistic_RBF,0.676,0.239,0.605,0.5743,0.05478,1.12,2.55,6.39,0.003531,0.010063,0.245291
Paul George,0.6527,gp_location,0.6679,0.2376,0.6037,0.574,0.038332,2.3,3.16,6.17,0.002138,0.009913,0.245291
Kyrie Irving,0.6905,intercept_only,0.6905,0.2487,0.5367,0.5,6.6e-05,-,-,-,0.0,0.0,0.248655
Kyrie Irving,0.664,binned_EB,0.6733,0.2402,0.5916,0.5869,0.016999,2.49,3.41,10.23,0.000334,0.008625,0.248655
Kyrie Irving,0.6643,logistic_RBF,0.6739,0.2404,0.5864,0.5981,0.028766,2.4,3.35,9.27,0.001333,0.009093,0.248655
Kyrie Irving,0.6681,gp_location,0.6718,0.2395,0.5834,0.598,0.018777,2.71,3.69,8.71,0.000467,0.008378,0.248655
Kevin Durant,0.6931,intercept_only,0.693,0.2499,0.5072,0.5,0.000186,-,-,-,0.0,0.0,0.249949
Kevin Durant,0.6383,binned_EB,0.6536,0.2315,0.5956,0.6267,0.016178,5.69,7.36,17.44,0.000508,0.019003,0.249949
Kevin Durant,0.6408,logistic_RBF,0.6484,0.2295,0.6024,0.641,0.02862,6.43,8.15,18.77,0.001917,0.021648,0.249949
Kevin Durant,0.6424,gp_location,0.6456,0.2281,0.599,0.6453,0.01817,6.84,8.72,18.1,0.00052,0.02188,0.249949
Bradley Beal,0.6883,intercept_only,0.6883,0.2476,0.5493,0.5,1.5e-05,-,-,-,0.0,0.0,0.247571
Bradley Beal,0.6514,binned_EB,0.6641,0.2357,0.6155,0.5959,0.029795,3.51,4.8,12.04,0.000916,0.01204,0.247571
Bradley Beal,0.6547,logistic_RBF,0.6657,0.2364,0.6085,0.5985,0.049295,3.28,4.54,10.78,0.004037,0.014524,0.247571
Bradley Beal,0.6594,gp_location,0.6632,0.2353,0.6168,0.598,0.039968,3.65,4.99,12.3,0.001775,0.014075,0.247571
Anthony Davis,0.6925,intercept_only,0.6925,0.2497,0.5175,0.5,7.2e-05,-,-,-,0.0,0.0,0.249692
Anthony Davis,0.6166,binned_EB,0.6481,0.2287,0.618,0.6552,0.01991,6.41,8.43,19.41,0.001342,0.02222,0.249692
Anthony Davis,0.6194,logistic_RBF,0.6486,0.229,0.6233,0.6574,0.041209,6.35,8.29,20.44,0.002628,0.023522,0.249692
Anthony Davis,0.6199,gp_location,0.6453,0.2274,0.6295,0.6575,0.048194,6.81,8.91,21.64,0.003017,0.02511,0.249692
Carmelo Anthony,0.6847,intercept_only,0.6847,0.2458,0.5648,0.5,0.000272,-,-,-,0.0,0.0,0.245807
Carmelo Anthony,0.663,binned_EB,0.6714,0.2393,0.5941,0.5832,0.004633,1.94,2.66,5.19,0.000262,0.005487,0.245807
Carmelo Anthony,0.6614,logistic_RBF,0.6719,0.2397,0.5903,0.582,0.032852,1.88,2.48,4.51,0.001343,0.006678,0.245807
Carmelo Anthony,0.6698,gp_location,0.6728,0.2401,0.5883,0.5778,0.004799,1.74,2.33,4.17,0.000202,0.005709,0.245807
Blake Griffin,0.6931,intercept_only,0.6931,0.25,0.5059,0.5,0.000243,-,-,-,0.0,0.0,0.249966
Blake Griffin,0.6185,binned_EB,0.643,0.2256,0.6454,0.6682,0.017388,7.23,9.78,27.57,0.000579,0.02561,0.249966
Blake Griffin,0.6271,logistic_RBF,0.6387,0.2238,0.641,0.6818,0.024711,7.85,10.48,26.7,0.001546,0.02695,0.249966
Blake Griffin,0.6284,gp_location,0.6379,0.2234,0.6468,0.6819,0.008807,7.96,10.63,27.86,0.000643,0.026383,0.249966
John Wall,0.6849,intercept_only,0.6848,0.2459,0.5644,0.5,5.2e-05,-,-,-,0.0,0.0,0.245858
John Wall,0.6426,binned_EB,0.6512,0.2293,0.6451,0.625,0.024955,4.91,6.74,14.3,0.001297,0.01787,0.245858
John Wall,0.6439,logistic_RBF,0.6459,0.2272,0.6426,0.6384,0.030345,5.68,7.59,13.86,0.001824,0.019736,0.245858
John Wall,0.6466,gp_location,0.6449,0.2264,0.6477,0.647,0.021664,5.83,7.91,14.75,0.000617,0.019956,0.245858
Dwyane Wade,0.6913,intercept_only,0.6913,0.2491,0.5301,0.5,0.000173,-,-,-,0.0,0.0,0.249097
Dwyane Wade,0.6431,binned_EB,0.6591,0.2333,0.615,0.6294,0.015975,4.66,6.34,16.02,0.000398,0.015495,0.249097
Dwyane Wade,0.6477,logistic_RBF,0.6487,0.2286,0.6249,0.6533,0.030534,6.16,8.24,17.88,0.001229,0.021371,0.249097
Dwyane Wade,0.6527,gp_location,0.645,0.2266,0.6399,0.6643,0.01752,6.7,9.02,20.71,0.00106,0.023801,0.249097
