player,region,model,n_train,n_test,log_loss,brier
Stephen Curry,paint,intercept_only,2860,956,0.6995,0.2532
Stephen Curry,paint,binned_eb,2860,956,0.669,0.2382
Stephen Curry,paint,logistic_rbf,2860,956,0.6655,0.2364
Stephen Curry,paint,gp_location,2860,956,0.6635,0.2356
Stephen Curry,paint,gp_context,2860,956,0.6669,0.237
Stephen Curry,mid_range,intercept_only,1264,434,0.6881,0.2475
Stephen Curry,mid_range,binned_eb,1264,434,0.6966,0.2517
Stephen Curry,mid_range,logistic_rbf,1264,434,0.6984,0.2525
Stephen Curry,mid_range,gp_location,1264,434,0.6834,0.2451
Stephen Curry,mid_range,gp_context,1264,434,0.6818,0.2444
Stephen Curry,corner_3,intercept_only,764,248,0.6902,0.2485
Stephen Curry,corner_3,binned_eb,764,248,0.6889,0.2479
Stephen Curry,corner_3,logistic_rbf,764,248,0.7091,0.2578
Stephen Curry,corner_3,gp_location,764,248,0.6986,0.2527
Stephen Curry,corner_3,gp_context,764,248,0.6957,0.2512
Stephen Curry,above_break,intercept_only,3758,1244,0.6872,0.247
Stephen Curry,above_break,binned_eb,3758,1244,0.6893,0.248
Stephen Curry,above_break,logistic_rbf,3758,1244,0.6786,0.2432
Stephen Curry,above_break,gp_location,3758,1244,0.6752,0.2416
Stephen Curry,above_break,gp_context,3758,1244,0.6813,0.2447
LeBron James,paint,intercept_only,5241,1727,0.6764,0.2416
LeBron James,paint,binned_eb,5241,1727,0.5917,0.2024
LeBron James,paint,logistic_rbf,5241,1727,0.5816,0.1982
LeBron James,paint,gp_location,5241,1727,0.5804,0.1975
LeBron James,paint,gp_context,5241,1727,0.5629,0.1938
LeBron James,mid_range,intercept_only,1674,543,0.7091,0.2579
LeBron James,mid_range,binned_eb,1674,543,0.6645,0.2359
LeBron James,mid_range,logistic_rbf,1674,543,0.6635,0.2352
LeBron James,mid_range,gp_location,1674,543,0.6602,0.2338
LeBron James,mid_range,gp_context,1674,543,0.6627,0.235
LeBron James,corner_3,intercept_only,324,123,0.7082,0.2575
LeBron James,corner_3,binned_eb,324,123,0.6636,0.2354
LeBron James,corner_3,logistic_rbf,324,123,0.6624,0.2348
LeBron James,corner_3,gp_location,324,123,0.6613,0.2344
LeBron James,corner_3,gp_context,324,123,0.6786,0.2418
LeBron James,above_break,intercept_only,1795,619,0.7142,0.2605
LeBron James,above_break,binned_eb,1795,619,0.645,0.2263
LeBron James,above_break,logistic_rbf,1795,619,0.6519,0.2291
LeBron James,above_break,gp_location,1795,619,0.645,0.2262
LeBron James,above_break,gp_context,1795,619,0.646,0.2265
Kevin Durant,paint,intercept_only,3880,1292,0.6905,0.2487
Kevin Durant,paint,binned_eb,3880,1292,0.6203,0.2163
Kevin Durant,paint,logistic_rbf,3880,1292,0.6105,0.2126
Kevin Durant,paint,gp_location,3880,1292,0.6112,0.2129
Kevin Durant,paint,gp_context,3880,1292,0.5963,0.2103
Kevin Durant,mid_range,intercept_only,1709,553,0.6937,0.2503
Kevin Durant,mid_range,binned_eb,1709,553,0.7005,0.2537
Kevin Durant,mid_range,logistic_rbf,1709,553,0.708,0.2573
Kevin Durant,mid_range,gp_location,1709,553,0.698,0.2524
Kevin Durant,mid_range,gp_context,1709,553,0.6971,0.2519
Kevin Durant,corner_3,intercept_only,223,73,0.6934,0.2501
Kevin Durant,corner_3,binned_eb,223,73,0.7178,0.2619
Kevin Durant,corner_3,logistic_rbf,223,73,0.7157,0.2604
Kevin Durant,corner_3,gp_location,223,73,0.7101,0.2582
Kevin Durant,corner_3,gp_context,223,73,0.6959,0.2513
Kevin Durant,above_break,intercept_only,2153,738,0.6969,0.2519
Kevin Durant,above_break,binned_eb,2153,738,0.6703,0.2386
Kevin Durant,above_break,logistic_rbf,2153,738,0.6636,0.2352
Kevin Durant,above_break,gp_location,2153,738,0.6598,0.2335
Kevin Durant,above_break,gp_context,2153,738,0.6655,0.2363
