player,train_size,draw,n_shots,model,log_loss,brier,accuracy,roc_auc,ece,ll_skill_%,bs_skill_%,acc_skill_%,reliability,resolution,uncertainty
Stephen Curry,10,0,127,intercept_only,0.6919,0.2494,0.5262,0.5,0.006486,-,-,-,4.2e-05,0.0,0.249315
Stephen Curry,10,0,127,binned_EB,0.6947,0.2508,0.5124,0.4925,0.031746,-0.41,-0.56,-2.62,0.002123,0.001434,0.249315
Stephen Curry,10,0,127,logistic_RBF,0.8529,0.3003,0.5069,0.492,0.175706,-23.26,-20.43,-3.67,0.054679,0.003171,0.249315
Stephen Curry,10,0,127,gp_location,0.7168,0.2613,0.4931,0.4811,0.089587,-3.6,-4.78,-6.29,0.012314,0.000805,0.249315
Stephen Curry,10,1,149,intercept_only,0.6918,0.2493,0.5262,0.5,0.002681,-,-,-,7e-06,0.0,0.249315
Stephen Curry,10,1,149,binned_EB,0.7357,0.2688,0.5179,0.4843,0.107374,-6.35,-7.81,-1.58,0.023587,0.00474,0.249315
Stephen Curry,10,1,149,logistic_RBF,0.9907,0.3217,0.5041,0.4898,0.222043,-43.21,-29.04,-4.19,0.073544,0.003735,0.249315
Stephen Curry,10,1,149,gp_location,0.7151,0.2602,0.5179,0.5118,0.081361,-3.37,-4.37,-1.58,0.010838,0.000653,0.249315
Stephen Curry,10,2,131,intercept_only,0.6948,0.2508,0.5262,0.5,0.038715,-,-,-,0.001499,0.0,0.249315
Stephen Curry,10,2,131,binned_EB,0.7053,0.2557,0.5234,0.5256,0.08492,-1.51,-1.94,-0.53,0.010792,0.003963,0.249315
Stephen Curry,10,2,131,logistic_RBF,0.9211,0.3104,0.4959,0.4821,0.198943,-32.57,-23.78,-5.76,0.067201,0.007533,0.249315
Stephen Curry,10,2,131,gp_location,0.7311,0.2667,0.4848,0.4874,0.119823,-5.22,-6.34,-7.86,0.019322,0.004392,0.249315
Stephen Curry,10,3,140,intercept_only,0.6947,0.2508,0.5262,0.5,0.038115,-,-,-,0.001453,0.0,0.249315
Stephen Curry,10,3,140,binned_EB,0.6947,0.2508,0.5262,0.5062,0.038143,-0.0,0.01,-0.01,0.001455,0.0,0.249315
Stephen Curry,10,3,140,logistic_RBF,0.7733,0.2778,0.551,0.5472,0.13245,-11.32,-10.77,4.71,0.034335,0.00714,0.249315
Stephen Curry,10,3,140,gp_location,0.7014,0.2536,0.5124,0.522,0.062873,-0.96,-1.12,-2.62,0.006557,0.001151,0.249315
Stephen Curry,10,4,146,intercept_only,0.6961,0.2515,0.4738,0.5,0.046719,-,-,-,0.002183,0.0,0.249315
Stephen Curry,10,4,146,binned_EB,0.6961,0.2515,0.4738,0.5032,0.046732,-0.01,0.0,0.01,0.002184,0.0,0.249315
Stephen Curry,10,4,146,logistic_RBF,0.7768,0.2781,0.5344,0.554,0.161249,-11.6,-10.58,12.8,0.038785,0.008142,0.249315
Stephen Curry,10,4,146,gp_location,0.7033,0.2549,0.5096,0.5262,0.065401,-1.04,-1.33,7.56,0.006887,0.00069,0.249315
Stephen Curry,20,0,249,intercept_only,0.6939,0.2503,0.5262,0.5,0.032062,-,-,-,0.001028,0.0,0.249315
Stephen Curry,20,0,249,binned_EB,0.6969,0.2517,0.5482,0.5145,0.043249,-0.43,-0.56,4.18,0.004296,0.002295,0.249315
Stephen Curry,20,0,249,logistic_RBF,0.7597,0.2686,0.5455,0.5493,0.109917,-9.48,-7.33,3.66,0.023918,0.004569,0.249315
Stephen Curry,20,0,249,gp_location,0.7014,0.2538,0.5179,0.5235,0.066317,-1.08,-1.42,-1.58,0.005678,0.00189,0.249315
Stephen Curry,20,1,244,intercept_only,0.6937,0.2503,0.5262,0.5,0.031206,-,-,-,0.000974,0.0,0.249315
Stephen Curry,20,1,244,binned_EB,0.6973,0.2518,0.5317,0.525,0.055068,-0.52,-0.59,1.04,0.006709,0.001733,0.249315
Stephen Curry,20,1,244,logistic_RBF,0.7776,0.2763,0.5152,0.5268,0.138141,-12.1,-10.39,-2.1,0.028898,0.003472,0.249315
Stephen Curry,20,1,244,gp_location,0.719,0.2615,0.5179,0.5009,0.072941,-3.65,-4.46,-1.58,0.01205,0.000782,0.249315
Stephen Curry,20,2,271,intercept_only,0.6948,0.2508,0.5262,0.5,0.038405,-,-,-,0.001475,0.0,0.249315
Stephen Curry,20,2,271,binned_EB,0.6978,0.2523,0.5262,0.4889,0.04995,-0.44,-0.58,-0.01,0.003858,0.000639,0.249315
Stephen Curry,20,2,271,logistic_RBF,0.7835,0.2801,0.5124,0.5298,0.157387,-12.77,-11.68,-2.62,0.0373,0.006497,0.249315
Stephen Curry,20,2,271,gp_location,0.6994,0.2528,0.5344,0.5388,0.056758,-0.66,-0.79,1.57,0.007329,0.002899,0.249315
Stephen Curry,20,3,289,intercept_only,0.6929,0.2499,0.5262,0.5,0.024002,-,-,-,0.000576,0.0,0.249315
Stephen Curry,20,3,289,binned_EB,0.703,0.2546,0.5344,0.5022,0.060237,-1.45,-1.88,1.57,0.006323,0.001144,0.249315
Stephen Curry,20,3,289,logistic_RBF,0.8331,0.2966,0.4986,0.5071,0.199188,-20.23,-18.68,-5.24,0.051457,0.005542,0.249315
Stephen Curry,20,3,289,gp_location,0.7156,0.2602,0.5069,0.5234,0.106732,-3.28,-4.12,-3.67,0.015187,0.003683,0.249315
Stephen Curry,20,4,267,intercept_only,0.6926,0.2497,0.5262,0.5,0.020553,-,-,-,0.000422,0.0,0.249315
Stephen Curry,20,4,267,binned_EB,0.694,0.2504,0.5289,0.4887,0.014359,-0.2,-0.28,0.52,0.000328,0.000373,0.249315
Stephen Curry,20,4,267,logistic_RBF,0.7307,0.2647,0.5372,0.5537,0.120198,-5.5,-6.03,2.09,0.019618,0.006267,0.249315
Stephen Curry,20,4,267,gp_location,0.6945,0.2506,0.5372,0.54,0.034497,-0.28,-0.35,2.09,0.001824,0.001791,0.249315
Stephen Curry,30,0,415,intercept_only,0.6919,0.2494,0.5262,0.5,0.006359,-,-,-,4e-05,0.0,0.249315
Stephen Curry,30,0,415,binned_EB,0.6923,0.2496,0.5399,0.5265,0.011255,-0.06,-0.08,2.61,0.000215,0.000954,0.249315
Stephen Curry,30,0,415,logistic_RBF,0.741,0.2676,0.5482,0.5361,0.096585,-7.09,-7.3,4.18,0.024056,0.006889,0.249315
Stephen Curry,30,0,415,gp_location,0.7033,0.2549,0.4904,0.5044,0.077773,-1.65,-2.19,-6.81,0.007551,0.001998,0.249315
Stephen Curry,30,1,370,intercept_only,0.6919,0.2494,0.5262,0.5,0.006262,-,-,-,3.9e-05,0.0,0.249315
Stephen Curry,30,1,370,binned_EB,0.6955,0.251,0.5372,0.5193,0.026332,-0.52,-0.66,2.09,0.001249,0.000717,0.249315
Stephen Curry,30,1,370,logistic_RBF,0.7458,0.2723,0.5234,0.5166,0.115288,-7.79,-9.2,-0.53,0.021612,0.001584,0.249315
Stephen Curry,30,1,370,gp_location,0.7007,0.2535,0.5289,0.524,0.048795,-1.28,-1.66,0.52,0.009232,0.005437,0.249315
Stephen Curry,30,2,366,intercept_only,0.6934,0.2501,0.5262,0.5,0.028474,-,-,-,0.000811,0.0,0.249315
Stephen Curry,30,2,366,binned_EB,0.7013,0.2538,0.5344,0.5054,0.04766,-1.14,-1.47,1.57,0.007033,0.001511,0.249315
Stephen Curry,30,2,366,logistic_RBF,0.7721,0.2781,0.5262,0.5262,0.143339,-11.34,-11.19,-0.01,0.032062,0.004063,0.249315
Stephen Curry,30,2,366,gp_location,0.7006,0.2533,0.5207,0.5247,0.052785,-1.03,-1.28,-1.05,0.00494,0.000333,0.249315
Stephen Curry,30,3,396,intercept_only,0.6922,0.2495,0.5262,0.5,0.014233,-,-,-,0.000203,0.0,0.249315
Stephen Curry,30,3,396,binned_EB,0.6971,0.2518,0.5427,0.5036,0.039031,-0.71,-0.93,3.14,0.004796,0.002797,0.249315
Stephen Curry,30,3,396,logistic_RBF,0.7671,0.2774,0.5207,0.512,0.127546,-10.83,-11.18,-1.05,0.028906,0.003008,0.249315
Stephen Curry,30,3,396,gp_location,0.7,0.2532,0.5289,0.5297,0.052659,-1.12,-1.47,0.52,0.004555,0.000877,0.249315
Stephen Curry,30,4,395,intercept_only,0.6918,0.2493,0.5262,0.5,0.002943,-,-,-,9e-06,0.0,0.249315
Stephen Curry,30,4,395,binned_EB,0.7052,0.2557,0.5289,0.5074,0.058712,-1.93,-2.59,0.52,0.007335,0.000863,0.249315
Stephen Curry,30,4,395,logistic_RBF,0.7408,0.269,0.5069,0.5242,0.136576,-7.08,-7.89,-3.67,0.022268,0.005754,0.249315
Stephen Curry,30,4,395,gp_location,0.7027,0.2544,0.5179,0.5213,0.070991,-1.57,-2.06,-1.58,0.008251,0.002054,0.249315
Stephen Curry,40,0,537,intercept_only,0.6923,0.2496,0.5262,0.5,0.015729,-,-,-,0.000247,0.0,0.249315
Stephen Curry,40,0,537,binned_EB,0.6992,0.2529,0.5399,0.4759,0.025128,-0.99,-1.31,2.61,0.003684,0.002238,0.249315
